UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MOCHI HUECHI (もち ゆち ) 1ST ANNIVERSARY,@MochiHuechi_CH,2021-08-30T22:01:50.000Z,"MOCHI HUECHI (もち ゆち ) 1ST ANNIVERSARY
@MochiHuechi_CH
·
8월 31일","HAMSTER 1ST ANNIVERSARY 

you are invited to join and celebrate with me !
August 31st , 2021 ! 7PM GMT+8

Waiting Room :
https://youtu.be/cgb78rd2Mco

#ENVtuber  #PHVtuber  #Vtuber  #Vtuberはじめました #Vtuber準備中
2
17
52",✨ ✨ ⭐ ⭐,2,17,52,['https://pbs.twimg.com/media/E-Eg5HnVEAAoGlb?format=jpg&name=small'],https://twitter.com/MochiHuechi_CH/status/1432463600455589888
MSUM Dragon Football,@msum_football,2021-08-30T22:52:01.000Z,"MSUM Dragon Football
@msum_football
·
8월 31일","We start the season down in Marshall, Minnesota this Thursday night at 7pm vs. SMSU! #FindAWay
3
14
78",,3,14,78,['https://pbs.twimg.com/media/E-EtiWCXIAAnJlG?format=jpg&name=small'],https://twitter.com/msum_football/status/1432476227823079426
Owen Herbolsheimer,@OwenHerb9,2021-08-30T23:23:04.000Z,"Owen Herbolsheimer
@OwenHerb9
·
8월 31일","PATRIOT NATION
BIG GAME THURSDAY NIGHT AGAINST ELKHORN SOUTH
7pm @ BUELL STADIUM
STUDENTS WE NEED YOU TO BE THERE AND BE LOUDFRESHMAN AND SOPHOMORES NEED TO BE EXTRA LOUD
WE NEED THE STADIUM PACKED
THEMEUSA
PATRIOTSVSSTORM
SPREAD THE WORD
2
42
99",⚠ ⚠ ‼ ‼ ⏰ ⏰ 🔊 🔊 🔊 ❌ ❌ 🔴 ⚪ 🔵 🔴 🔵 🔵 🟡 🗣 🗣,2,42,99,['https://pbs.twimg.com/media/E-E0pBUXsAUvVp2?format=jpg&name=small'],https://twitter.com/OwenHerb9/status/1432484042239320066
Ken Anderson,@XanaduFitness,2021-08-30T21:35:00.000Z,"Ken Anderson
@XanaduFitness
·
8월 31일","On #TCM tonight at 7pm PT: Doris Day & James Cagney in ""Love Me or Leave Me"" (1955).
https://lecinemadreams.blogspot.com/2013/04/love-me-or-leave-me-1955.html…
5
23",🎞 🎼,,5,23,"['https://pbs.twimg.com/media/E8sivFNVIAAYGRj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8sjWnCVoAI9a6e?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8sjH4RVIAEay9b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8sjtVxVUAMWdQN?format=jpg&name=360x360']",https://twitter.com/XanaduFitness/status/1432456845008928771
"Office of the Mayor - Lawrence, MA",@mayorlawrencema,2021-08-30T22:56:15.000Z,"Office of the Mayor - Lawrence, MA
@mayorlawrencema
·
8월 31일","The City of Lawrence and the Rosario Pichardo family invite you to a candlelight vigil / La Ciudad de Lawrence y la familia de Rosario Pichardo le invitan a una vigilia con velas

When: Tuesday, August 31st, 2021 at 7pm
Where: Veterans Memorial Stadium – 240 Osgood St, Lawrence
2
16
17",,2,16,17,"['https://pbs.twimg.com/media/E-EugU4XIAUtrz-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-EugUDWYAkkCvl?format=jpg&name=360x360']",https://twitter.com/mayorlawrencema/status/1432477293029494785
Bring Hockey Back,@BringHockeyBack,2021-08-30T20:07:29.000Z,"Bring Hockey Back
@BringHockeyBack
·
8월 31일","TACOS!!!!! 

Dropping these beach hoods and tees tonight at 7pm Pacific. 

If you want a discount code, reply back in the comments and we’ll send you the goods. 
25
13
74",🌮 🏒 😤 🔥,25,13,74,['https://pbs.twimg.com/media/E-EH4JMVcAQRWGC?format=jpg&name=small'],https://twitter.com/BringHockeyBack/status/1432434821918191621
Steve Cooper,@scooperon7,2021-08-30T23:54:11.000Z,"Steve Cooper
@scooperon7
·
8월 31일","Vigil Tuesday night at 7pm at veterans memorial stadium in Lawrence to remember and pay tribute to Marine Sgt Johanny Rosario #7news
4
18
142",,4,18,142,['https://pbs.twimg.com/media/E-E7wwIXIAUXVQt?format=jpg&name=900x900'],https://twitter.com/scooperon7/status/1432491870584774662
The SSChat Network,@SSChatNetwork,2021-08-30T23:59:00.000Z,"The SSChat Network
@SSChatNetwork
·
8월 31일","Calling all world history teachers! Next week's #sschat will be hosted by 
@rose_metro
 and will be focused on teaching world history. The chat starts at 7pm EDT/4pm PDT next Monday (9/6). #engsschat #whapchat
16
20",,,16,20,['https://pbs.twimg.com/media/E-EQUCYXMAIx_vz?format=jpg&name=small'],https://twitter.com/SSChatNetwork/status/1432493083556397059
Erik Jones,@Erik_Jones,2021-08-30T23:01:01.000Z,"Erik Jones
@Erik_Jones
·
8월 31일","New #READwithErik coming at you! Tune in tomorrow at 7pm ET on Facebook to read this highly requested book.
13
18
320",,13,18,320,['https://pbs.twimg.com/media/E-EvmPrXMAE8lLm?format=jpg&name=small'],https://twitter.com/Erik_Jones/status/1432478493946884101
TRAFON(s Backup Account),@RiseFallNickBck,2021-08-30T22:30:00.000Z,"TRAFON(s Backup Account)
@RiseFallNickBck
·
8월 31일","Victor and Valentino join the CN Lineup starting September 14th at 7PM EST

So that brings the show count up to four shows in the six hour slot. Even better news is Victor and Valentino move from the mornings to a prime time slot!

Expect this with more CN series going forward.
TRAFON(s Backup Account)
@RiseFallNickBck
 · 8월 30일
Cartoon Network will only run for six hours starting September 13th. 2-8PM. Sandwiched between the new pre-school block attempt and Adult Swim.

Their initial lineup will only be airing Gumball, Craig of the Creek, and Teen Titans GO.
6
13
69",,6,13,69,"['https://pbs.twimg.com/media/E-ETqozX0AIf-IT?format=png&name=small', 'https://pbs.twimg.com/profile_images/1400292170079293443/9cf8vHvJ_mini.jpg', 'https://pbs.twimg.com/media/E-AGEb2XMAIDgHS?format=jpg&name=240x240']",https://twitter.com/RiseFallNickBck/status/1432470687571054598
