UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Witchful Wishings,@WWishings,2021-08-27T14:47:09.000Z,"Witchful Wishings
@WWishings
·
8월 27일","Ernie the Coffee Spirit 

He enjoys iced caramel & pumpkin coffees, making people smile + blushing @ the site of spirits he loves! 
6
113
239",🦇 🦇 ☕ 👻 🤍 💕 🔮,6,113,239,"['https://pbs.twimg.com/media/E9zhxnqUUAMl5xW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zhxnsVEAcJwgU?format=jpg&name=360x360']",https://twitter.com/WWishings/status/1431267041726459910
Vanessa Bell,@cremetoursBA,2021-08-28T02:07:48.000Z,"Vanessa Bell
@cremetoursBA
·
8월 28일","A Buenos Aires cafetero selling coffees during a time when the city looked like a movie set. Year and photographer unknown. Av. Patricios, from Pi y Margall towards Pilcomayo
25
71
1.5천",,25,71,1.5천,['https://pbs.twimg.com/media/E919kzOX0AIdf4v?format=jpg&name=small'],https://twitter.com/cremetoursBA/status/1431438333893283840
𓍊𓋼𓍊 𝕄𝕚𝕒 𓍊𓋼𓍊,@tjuserska,2021-08-27T08:51:12.000Z,"𓍊𓋼𓍊 𝕄𝕚𝕒 𓍊𓋼𓍊
@tjuserska
·
8월 27일","2 coffees still tired.
3
2
38",,3,2,38,['https://pbs.twimg.com/media/E9yQUeDXIAMBjhS?format=jpg&name=900x900'],https://twitter.com/tjuserska/status/1431177464806625281
Deano,@DeanoCFC07,2021-08-28T15:56:47.000Z,"Deano
@DeanoCFC07
·
8월 29일","One man two gays and their coffees! Pre game 
8
2
54",💙,8,2,54,['https://pbs.twimg.com/media/E947TnZXoAMLrZ8?format=jpg&name=small'],https://twitter.com/DeanoCFC07/status/1431646957311778827
Swamp Hag,@mulberrythief,2021-08-27T14:00:28.000Z,"Swamp Hag
@mulberrythief
·
8월 27일","Getting fancy little coffees with my handsome girlfriend rn
2
27",🦟,2,,27,['https://pbs.twimg.com/media/E9zXGYqWUAUgDIs?format=jpg&name=small'],https://twitter.com/mulberrythief/status/1431255294731034630
PinkTaxiRunner,@PinkTaxiRunner,2021-08-29T14:49:10.000Z,"PinkTaxiRunner
@PinkTaxiRunner
·
8월 29일","She wore a little black dress and fishnet stockings a d had a few coffees too many in the Gothic Quarter. #mywritings
1
20",,1,,20,['https://pbs.twimg.com/media/E991amrUUAUyo6r?format=jpg&name=small'],https://twitter.com/PinkTaxiRunner/status/1431992328210710530
Roo,@numeil,2021-08-27T19:04:39.000Z,"Roo
@numeil
·
8월 28일","we’re in your walmarts 0_o buying your coffees x3
4
1
32",,4,1,32,['https://pbs.twimg.com/media/E90cuYVVgAImCnj?format=jpg&name=small'],https://twitter.com/numeil/status/1431331846130843654
Mr. Wuggums & DJ Heri,@MrWuggums,2021-08-29T22:28:00.000Z,"Mr. Wuggums & DJ Heri
@MrWuggums
·
8월 30일","For beverages we've got iced jasmine tea and cool catnip tea...lemonade, cocoas, coffees, sparkling catnip wine and tunatinis! #nipfest2021
3
16",❤ 🎶,,3,16,"['https://pbs.twimg.com/media/E9_eL-bWEAAYnKE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9_eYTMXoAIDsPA?format=jpg&name=small', 'https://pbs.twimg.com/media/E9_eSfHWYAIlViq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9_ea4SXEAsdQI9?format=jpg&name=360x360']",https://twitter.com/MrWuggums/status/1432107797076922375
Communist Daughter,@debaeser,2021-08-26T21:03:44.000Z,"Communist Daughter
@debaeser
·
8월 27일","just had a 4 hours and a half meeting on 2 coffees and nothing else I’m actually dying
2
21",,2,,21,['https://pbs.twimg.com/media/E9vuZRyXsAo0Q9f?format=jpg&name=900x900'],https://twitter.com/debaeser/status/1430999427959959557
Dogknob1,@MotoNutJob,2021-08-29T11:43:00.000Z,"Dogknob1
@MotoNutJob
·
8월 29일","We've remortgage and have got a pcp deal on a muffin and two coffees,  ours to eat with a final payment of £575535455
11
43",,11,,43,['https://pbs.twimg.com/media/E99Kz1TWUAA3wWT?format=jpg&name=small'],https://twitter.com/MotoNutJob/status/1431945475264065538
Zimadventures,@zimadventures,2021-08-27T05:34:49.000Z,"Zimadventures
@zimadventures
·
8월 27일","When it comes Mosi Oa Tunya, there is no substitute for quality, we really give our all

For $350/person per night you get All Meals
, Coffees and Teas, Tour of the Falls
, Transfers to/from Nat Park Gate, Two game activities and more

whatsapp at +263783682334 to book
1
9
38",📌 💠 😍 📲,1,9,38,"['https://pbs.twimg.com/media/E9xjPMoXsAMxfb1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xjWdxX0AEmgSx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xjVuYX0AAZu4s?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xjXbUWEAQiPQQ?format=jpg&name=360x360']",https://twitter.com/zimadventures/status/1431128045948125185
bernard,@hello_aubs,2021-08-30T21:05:16.000Z,"bernard
@hello_aubs
·
8월 31일","I fear I may have girlbossed a bit too close to the sun (had two large iced coffees at work)
32",,,,32,"['https://pbs.twimg.com/media/E-EUztgX0Ag8Z4T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-EVGd9X0AQ8nXT?format=jpg&name=360x360']",https://twitter.com/hello_aubs/status/1432449365310943241
sʜᴀᴍᴡᴇʟʟ,@DrShamwell,2021-08-30T13:01:55.000Z,"sʜᴀᴍᴡᴇʟʟ
@DrShamwell
·
8월 30일","coffees on me
16
10
77",,16,10,77,[],https://twitter.com/DrShamwell/status/1432327726220955651
susannacrossman,@crossmansusanna,2021-08-27T15:35:51.000Z,"susannacrossman
@crossmansusanna
·
8월 28일","Vendredi: 2 zooms in 3 time zones, Seneca’s ‘consolations’ read and thought about,  7 emails sent, lines of a novel written, an anniversary mourned, a knickerbocker glory imagined, 1 bowl of skyre and sunflower seeds eaten, 3 coffees, 2 teas & a late afternoon swim the teal sea.
25",,,,25,"['https://pbs.twimg.com/media/E9zs2RrXoAU_SeU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zs2RtWQAUvpWT?format=jpg&name=360x360']",https://twitter.com/crossmansusanna/status/1431279300557279241
"Andrew D. Huberman, Ph.D.",@hubermanlab,2021-08-28T14:48:56.000Z,"Andrew D. Huberman, Ph.D.
@hubermanlab
·
8월 28일","I’ve talked about Theanine for sleep. 
Wondering why Theanine is showing up in coffees & energy drinks? It reduces jitters. I reviewed why energy drinks are bad news & daytime Theanine is not good. For science-backed energy & immune system protocols see:
Using Cortisol & Adrenaline to Boost Our Energy & Immune System
Dr. Huberman describes the biology of two essential hormones we all make: cortisol and adrenaline (also called epinephrine).
hubermanlab.com
24
39
351",,24,39,351,['https://pbs.twimg.com/card_img/1441780087888572419/Ozpkdv_G?format=jpg&name=small'],https://twitter.com/hubermanlab/status/1431629879699591176
