UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Most Beautiful Woman in all of WWE,@CarmellaWWE,2021-08-30T15:16:10.000Z,"The Most Beautiful Woman in all of WWE
@CarmellaWWE
·
8월 31일","So excited to see you all in Jacksonville on Friday!!! Woohooo!! 
201
137
1.8천",🥂 🤑,201,137,1.8천,['https://pbs.twimg.com/media/E-DFMrmXsAA6QMU?format=jpg&name=small'],https://twitter.com/CarmellaWWE/status/1432361509821239297
Classic Rock In Pics,@crockpics,2021-08-30T14:30:00.000Z,"Classic Rock In Pics
@crockpics
·
8월 30일","Metallica performing in Jacksonville, 1989
4
82
516",,4,82,516,['https://pbs.twimg.com/media/E9__898WEAUrLV3?format=jpg&name=small'],https://twitter.com/crockpics/status/1432349890068291597
Oumar Koureissi,@KoureissiOumar,2021-08-29T16:23:34.000Z,"Oumar Koureissi
@KoureissiOumar
·
8월 30일","happy birthday to my mom & dad, hope ya baby boy making y’all proud .. blessed to have received an offer from Jacksonville University .. #GoDolphins #LLSTEPHWES
4
13
31",❤ 👼,4,13,31,"['https://pbs.twimg.com/media/E9-LCbAX0AAtn2S?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-LCbHXIAIaXfr?format=jpg&name=360x360']",https://twitter.com/KoureissiOumar/status/1432016084706762759
Light On Sports,@LightOnSports,2021-08-30T16:34:39.000Z,"Light On Sports
@LightOnSports
·
8월 31일","Light On Sports Week 1 FCS Games Of The Week: 
Jacksonville State Vs UAB (FBS)
Austin Peay Vs Chattanooga 
Furman Vs North Carolina A&T
Jackson State Vs FAMU
#MOVIE
8
8",🍿 🍿 🍿 🍿,,8,8,['https://pbs.twimg.com/media/E-DXKOaWQAA0xQI?format=jpg&name=small'],https://twitter.com/LightOnSports/status/1432381259821506562
AC Athletics,@ACAthletics,2021-08-30T00:58:10.000Z,"AC Athletics
@ACAthletics
·
8월 30일","AC's Andrei Aguirre scored the Roadrunners' second goal in Saturday's 3-2 win over Jacksonville College in the teams' conference opener. 
@AngelinaSocc
 @angelinacollege
13
39",,,13,39,['https://pbs.twimg.com/media/E-AAyR9XIAEI4pD?format=jpg&name=small'],https://twitter.com/ACAthletics/status/1432145585000402944
Bob Pockrass,@bobpockrass,2021-08-30T16:58:54.000Z,"Bob Pockrass
@bobpockrass
·
8월 31일","Wendell Scott’s family describes why it was important to receive a trophy commemorating his 1963 victory at Jacksonville, a victory that was initially awarded to another driver and the only victory by a Black driver in NASCAR’s top division.
FOX: NASCAR
 님의
9
61
449",,9,61,449,['https://pbs.twimg.com/media/E-DchjYX0AITIHC.jpg'],https://twitter.com/bobpockrass/status/1432387361703448589
Ron DeSantis,@GovRonDeSantis,2021-08-30T14:12:44.000Z,"Ron DeSantis
@GovRonDeSantis
·
8월 30일","Governor DeSantis hosts a press conference in Jacksonville with individuals that have recovered from COVID-19 after receiving monoclonal antibody treatments. 

Watch Live:
Governor Ron DeSantis - Mononclonal Antibody Treatments Are Saving...
Governor DeSantis hosts a press conference in Jacksonville with individuals that have recovered from COVID-19 after receiving monoclonal antibody treatments.
facebook.com
1천
596
3.1천",,1천,596,3.1천,['https://pbs.twimg.com/card_img/1439955933661126656/T8w7ZYaU?format=jpg&name=240x240'],https://twitter.com/GovRonDeSantis/status/1432345547533340678
Sidelines-South Florida AAC Baseball Champs,@SSN_USF,2021-08-30T19:01:11.000Z,"Sidelines-South Florida AAC Baseball Champs
@SSN_USF
·
8월 31일","3 Days Until NC State
#3 Vincent ""Smoke"" Davis 
@___vd3
 
5-11/190/Safety/Senior
Attended Robert E. Lee HS in Jacksonville, FL
Named 2017 3rd team 7A All-State in HS
Played in 31 games in the past 3 years
Career-best 11 tackles @ Cincinnati in 2020
34 tackles in 2020
5
38",🤘 🏆 ✅ ✅ ✅ ✅ ✅ ✅,,5,38,"['https://pbs.twimg.com/media/E-D3fOfXoAY7C8n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-D3mgzXsAIAovz?format=png&name=360x360', 'https://pbs.twimg.com/media/E-D3jhzXoAMP8G_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-D33rIWUAEEGY3?format=jpg&name=360x360']",https://twitter.com/SSN_USF/status/1432418134795894786
Brian McLaughlin,@BrianMacWriter,2021-08-30T21:47:52.000Z,"Brian McLaughlin
@BrianMacWriter
·
8월 31일","The more you dig into Jacksonville State's roster, the more impressive it gets. The 
@JSUGamecockFB
 roster is full of experience/returning starters (and talent). UAB is no FBS weakling.

#FCSKickoff should be pretty good Wednesday.
2
6
22",,2,6,22,['https://pbs.twimg.com/media/E-Ee2afWYAIIaCk?format=jpg&name=small'],https://twitter.com/BrianMacWriter/status/1432460084114776071
Pro Football Network,@PFN365,2021-08-29T17:46:51.000Z,"Pro Football Network
@PFN365
·
8월 30일","Laviska Shenault is gearing up for a big season in Jacksonville.
NFL
 님의
7
25",,,7,25,['https://pbs.twimg.com/amplify_video_thumb/1432036590629502976/img/uIfRjnQmmXFk4Pn2.jpg'],https://twitter.com/PFN365/status/1432037042196729865
