UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Simply Southern Grace Blonde,@keep_grace,2021-08-30T23:53:12.000Z,"Simply Southern Grace Blonde
@keep_grace
·
8월 31일","That face .
9
4
76",😍,9,4,76,['https://pbs.twimg.com/media/E-E7ie8WYAI9mvg?format=jpg&name=small'],https://twitter.com/keep_grace/status/1432491626853769218
nah,@mediumnah,2021-08-30T23:53:37.000Z,"nah
@mediumnah
·
8월 31일","I can’t keep living like this
21
20
259",❗,21,20,259,"['https://pbs.twimg.com/media/E-E7ovyXsAESLRS?format=jpg&name=small', 'https://pbs.twimg.com/media/E-E7ovxXEAIvDTm?format=jpg&name=360x360']",https://twitter.com/mediumnah/status/1432491731497410563
elle||,@tagsenchemistry,2021-08-30T23:52:47.000Z,"elle||
@tagsenchemistry
·
8월 31일","UPUAN MUSIC VIDEO now reached 2.1M views and 244k likes. Still #1 trending for music. #1 overall trending on YouTube since yesterday. Keep streaming manually! Congrats, Upuan team!

#BenAndBenAndDonBelle
#UpuanMVOutNow
2
98
327",,2,98,327,"['https://pbs.twimg.com/media/E-E7WAQVkAU4SbT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E7WN-UcAA5zW5?format=jpg&name=360x360']",https://twitter.com/tagsenchemistry/status/1432491520347844608
Jessie Mason,@ladygalaga11,2021-08-30T23:48:37.000Z,"Jessie Mason
@ladygalaga11
·
8월 31일","My very first 100% all keys 1CC!  (ignore the splits i keep forgetting to clunk) https://youtu.be/r4VL1pPKdXs
7
3
64",,7,3,64,['https://pbs.twimg.com/media/E-E6fZuWQAAoQ1n?format=jpg&name=small'],https://twitter.com/ladygalaga11/status/1432490470404509699
Annastacia Palaszczuk,@AnnastaciaMP,2021-08-30T23:58:54.000Z,"Annastacia Palaszczuk
@AnnastaciaMP
·
8월 31일","BREAKING: Overnight, Queensland recorded 0 new cases, hit 4,002,709 total tests and reached 51% of Queenslanders vaccinated with at least one dose.

These are incredible results. 

Thank you and keep it up, Queensland 
121
170
1.1천",👏,121,170,1.1천,['https://pbs.twimg.com/media/E-E6QSCUYAgKj54?format=jpg&name=small'],https://twitter.com/AnnastaciaMP/status/1432493060529610758
ami | REST,@dearhrj_,2021-08-30T23:53:39.000Z,"ami | REST
@dearhrj_
·
8월 31일","Renjun Day !!

To the boy who light up the world, Huang Renjun.
Thank you for being here, bring happiness for people around the world. Your pretty smile is precious. Be Happy and Keep smiling baobei

HUANG RENJUN THANK YOU

#런쥔 #RENJUN #NCT런쥔
@NCTsmtown_DREAM
122
879",,,122,879,"['https://pbs.twimg.com/media/E-E7oE9UUAQgrl7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E7o0lVQAAAoRn?format=jpg&name=360x360']",https://twitter.com/dearhrj_/status/1432491738820603907
CJ Errickson,@CJErrickson_NFL,2021-08-30T23:52:41.000Z,"CJ Errickson
@CJErrickson_NFL
·
8월 31일","If the Raiders keep Dallin Leavitt over Karl Joseph…
0:02
2천 조회수
Michael
 님의
2
5
26",⚡,2,5,26,[],https://twitter.com/CJErrickson_NFL/status/1432491494708027401
Anne Margaret Daniel,@venetianblonde,2021-08-30T23:51:56.000Z,"Anne Margaret Daniel
@venetianblonde
·
8월 31일","Thinking of you and the joyful, relieved dogs you have saved, Charlotte Maxwell-Jones of Tennessee. Your three years in Kabul have done much good for many, people and animals.

God bless and keep you, Charlotte, your staff and your charges. We are here to welcome you…. 
7
22
39",🙏,7,22,39,['https://pbs.twimg.com/media/E-E7QHSWQAI3C__?format=jpg&name=small'],https://twitter.com/venetianblonde/status/1432491308048949252
Uhmaayyze,@uhmaayyze,2021-08-30T23:55:51.000Z,"Uhmaayyze
@uhmaayyze
·
8월 31일","I will not give up ladies and gentlemen.

I will not.

I will no longer be posting hate raids I’ll be saving them for other reasons.

There nothing I can do atm but keep going.
20
15
678",,20,15,678,[],https://twitter.com/uhmaayyze/status/1432492290526810114
SouthStreetz,@gunnaboy127,2021-08-30T23:59:52.000Z,"SouthStreetz
@gunnaboy127
·
8월 31일","Even if you take 1,000 L’s Keep Going Cuz 1 W can change everything 
11
20",😈 ‼,,11,20,[],https://twitter.com/gunnaboy127/status/1432493300850864131
Tubby & Coo's,@tubbyandcoos,2021-08-30T23:53:04.000Z,"Tubby & Coo's
@tubbyandcoos
·
8월 31일","We aren't sure how long we'll have to be closed, & that is scary. We still have to pay rent and bills in the meantime. But there are a few ways we can still generate income if you want to help keep us afloat! Thread 
7
345
406",👇,7,345,406,[],https://twitter.com/tubbyandcoos/status/1432491590560501765
Panthers Culture,@PanthersCulture,2021-08-30T23:57:12.000Z,"Panthers Culture
@PanthersCulture
·
8월 31일","Scott Fitterer makes it imperative to keep your #Panthers game day programs handy.
2
6
43",🌍 ⚫ ⚪,2,6,43,[],https://twitter.com/PanthersCulture/status/1432492631242809350
Magebs,@MangeTshemese,2021-08-30T23:57:21.000Z,"Magebs
@MangeTshemese
·
8월 31일","Problem with me is I'm not the type of person to cut someone off completely. It gets really sad when one treats me like trash, well I do keep my distance but I don't leave people . No matter how mad I get, when you reach out to me, I'd act like nothing happened and respond well.
3
38
85",,3,38,85,[],https://twitter.com/MangeTshemese/status/1432492668169474050
GrandWilly,@GrandWilly1,2021-08-30T23:51:37.000Z,"GrandWilly
@GrandWilly1
·
8월 31일","Tsitsipas won one of the best matches of the season because he was the player who could keep the best level of tennis until the end. I think it's very unfair that the opponent wants to put so much emphasis on 7 min bathroom break. That wasn't decisive and he should know it.
14
18
137",,14,18,137,[],https://twitter.com/GrandWilly1/status/1432491226826252295
Ovrnght,@kingvonte_,2021-08-30T23:53:51.000Z,"Ovrnght
@kingvonte_
·
8월 31일","Hearing “I’m proud of you” from people you fw is a great feeling that makes you wanna keep going 
23
49",🦅 💯,,23,49,[],https://twitter.com/kingvonte_/status/1432491788594397187
Emily Clark,@emilynclark,2021-08-30T23:49:51.000Z,"Emily Clark
@emilynclark
·
8월 31일","Sometimes I feel guilty I found my person because I know so many really incredible men and women who are still looking. 

Online dating is a difficult place to hold out hope.

Keep searching friends, I’m praying you find your person. I’m holding on to hope for you today.
10
4
135",,10,4,135,[],https://twitter.com/emilynclark/status/1432490783702192128
ni,@reniyanicoel,2021-08-30T23:53:24.000Z,"ni
@reniyanicoel
·
8월 31일","keep it up! scare the white people away 
M R . k A N T M i S S
@SlumlordTrill
 · 8월 31일
Life in the jungles be like….
2
6
16",,2,6,16,"['https://pbs.twimg.com/profile_images/1396147317191974917/Gg-n63D1_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1432433206163169284/pu/img/DfjlpjiGq53xMGcC.jpg']",https://twitter.com/reniyanicoel/status/1432491674429583363
Tabor Hill,@TaborTimeYT,2021-08-30T23:57:03.000Z,"Tabor Hill
@TaborTimeYT
·
8월 31일","I forgot to use my platform for this request - worth a shot!  I'm looking to purchase an XBOX Series X for a Make-A-Wish recipient.  I've tried repeatedly online, but they sell out too fast.  If anyone has some kind of hook-up, please keep me in mind!
45
16
407",,45,16,407,[],https://twitter.com/TaborTimeYT/status/1432492592902590467
SSG Maister,@Maister_SSB,2021-08-30T23:57:45.000Z,"SSG Maister
@Maister_SSB
·
8월 31일","Really hoping Smash can keep growing and eventually have something like this be the constant payout for Majors. Not necessarily these amounts, but to be able to maybe get Top 32 and still make money out of it, or maybe top 24 etc etc. Would definitely change a lot of things
colinies
@colinies
 · 8월 31일
super dope to see this kind of money for Ultimate holy shiiiiiii
이 스레드 보기
4
15
553",,4,15,553,"['https://pbs.twimg.com/profile_images/1439820562335928320/14lFaInC_mini.jpg', 'https://pbs.twimg.com/media/E-EKiRxWYAUa0hz?format=png&name=small']",https://twitter.com/Maister_SSB/status/1432492771215020032
IG: JosinaAnderson,@JosinaAnderson,2021-08-30T23:55:20.000Z,"IG: JosinaAnderson
@JosinaAnderson
·
8월 31일","Team source confirms that #Cardinals CB Malcolm Butler is contemplating retirement, as 
@MikeGarafolo
 reported. This particular source said they learned a couple of days ago and added ""we don't have a clue why."" When I asked what is the plan from here, they replied, ""keep going.""
9
88
282",,9,88,282,[],https://twitter.com/JosinaAnderson/status/1432492163707899916
Jason Spatafora,@WolfOfWeedST,2021-08-30T23:56:07.000Z,"Jason Spatafora
@WolfOfWeedST
·
8월 31일","Here’s a Pretty simple/courteous rule for sending kids to school during a pandemic if they have a fever or a sibling has a fever…. Get them tested or keep them the f*ck home. 

-Sincerely the dad whose son was infected with your stupidity.
44
15
206",,44,15,206,[],https://twitter.com/WolfOfWeedST/status/1432492357128175620
what are willex doing rn?,@willexdaily,2021-08-30T23:49:00.000Z,"what are willex doing rn?
@willexdaily
·
8월 31일","alex tucked willie’s hair behind his ear to keep it out of his eyes
11
14",,,11,14,[],https://twitter.com/willexdaily/status/1432490567536050178
tj⁷ | shadowbanned,@_015STEENHAA,2021-08-30T23:56:21.000Z,"tj⁷ | shadowbanned
@_015STEENHAA
·
8월 31일","GOOD MORNING ENGENES!!!

 IT’S D-DAY, LET US GIVE OUR BEST FOR THE BOYS! KEEP ON WIDENING THE GAP AND CREATE MORE ACCOUNTS LET'S WIN THIS FOR THEM 
32
19",‼ ‼,,32,19,[],https://twitter.com/_015STEENHAA/status/1432492416452358147
martin gee 朱威華,@ohmgee,2021-08-30T23:58:33.000Z,"martin gee 朱威華
@ohmgee
·
8월 31일","editorial gatekeeping is weird and sad. told my AD i’ve wanted to be in the la times for 20+ years. i keep track of mastheads / staff more than most and noticed new CD (yay!) + two LONG TIME visual higher ups left. new era… then i get two recent assignments =)

+ this  helped!
1
20",🐛,1,,20,['https://pbs.twimg.com/ext_tw_video_thumb/1432492953189208068/pu/img/90G1MuxZpQxaJMfs.jpg'],https://twitter.com/ohmgee/status/1432492970926870530
Rio • Affiliate Marketer,@brickgems,2021-08-30T23:58:38.000Z,"Rio • Affiliate Marketer
@brickgems
·
8월 31일","Keep building. 

You never know who’s watching you..
1
7
27",🧱,1,7,27,[],https://twitter.com/brickgems/status/1432492992456126464
Emmanuel's Advocate⁷,@MaqCrazyNerd,2021-08-30T23:55:25.000Z,"Emmanuel's Advocate⁷
@MaqCrazyNerd
·
8월 31일","Why are ya'l losing focus? Abeg don't vex me. We can't afford to be distracted especially by lies. Please keep vote for Emmanuel we'll deal with them on Thursday after 10pm .

EMMANUEL IS PRIORITY 

#BBNaija
11
32",⚜ 😭 😭 😭 😭 🗣 🗣 🗣 🗣,,11,32,[],https://twitter.com/MaqCrazyNerd/status/1432492184436158474
Antonio,@TonioSuprano,2021-08-30T23:58:43.000Z,"Antonio
@TonioSuprano
·
8월 31일","Keep me & my family in your prayers pls
1
23",,,1,23,[],https://twitter.com/TonioSuprano/status/1432493011464855557
Sat,@browsersatdv4,2021-08-30T23:56:41.000Z,"Sat
@browsersatdv4
·
8월 31일","I'm ngl i'm very satisfied with the job performance of the group of jеwish elites that are running the world rn. keep up the good work y'all
9
3
136",💚 🐳,9,3,136,[],https://twitter.com/browsersatdv4/status/1432492501236162566
Btob7Family✧ 4U: OUTSIDE ✦,@FamilyBtob,2021-08-30T23:51:56.000Z,"Btob7Family✧ 4U: OUTSIDE ✦
@FamilyBtob
·
8월 31일","its just youtube views, nothing gonna break our spirit keep swimming and dont forget to collect hearts etc for voting 예지앞사
11
23",💙 💙,,11,23,[],https://twitter.com/FamilyBtob/status/1432491304919785473
