UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Andrés Guzmán Castillo,@andresguzbj,2021-08-26T14:13:38.000Z,"Andrés Guzmán Castillo
@andresguzbj
·
8월 26일","#SabiasQue 
Mr Bean ...
#Anguz
2
6
27",,2,6,27,['https://pbs.twimg.com/media/E9uQcbcUcAodrok?format=jpg&name=small'],https://twitter.com/andresguzbj/status/1430896220642299910
#BookLovers,@BookChat_,2021-08-29T21:54:32.000Z,"#BookLovers
@BookChat_
·
8월 30일","The wisdom of Mr. Bean… https://bitsofwisdom.org/2021/08/29/the-wisdom-of-mr-bean/?utm_source=dlvr.it&utm_medium=twitter…
1
93
427",📚,1,93,427,['https://pbs.twimg.com/media/E9_WywcVkAEtSbW?format=jpg&name=small'],https://twitter.com/BookChat_/status/1432099375740641282
Salem,@bearsnbugs,2021-08-27T13:34:21.000Z,"Salem
@bearsnbugs
·
8월 27일","Mr bean invented vlogging. Icon
3
25
340",,3,25,340,['https://pbs.twimg.com/media/E9zRIDdXoAE22ms?format=jpg&name=small'],https://twitter.com/bearsnbugs/status/1431248720914489353
Kristin Plant,@misskristinruth,2021-08-29T17:59:48.000Z,"Kristin Plant
@misskristinruth
·
8월 30일","Stop insulting Mr Bean by comparing him to Gove. Please.
GIF
24
334",,,24,334,['https://pbs.twimg.com/tweet_video_thumb/E9-hD7sXsAkdsOc.jpg'],https://twitter.com/misskristinruth/status/1432040303054270466
Miffy,@miffythegamer,2021-08-29T13:17:31.000Z,"Miffy
@miffythegamer
·
8월 29일","Michael Gove raving is utterly mesmerising. He trained at the Mr Bean Academy of Dance, apparently.
James O'Brien
@mrjamesob
 · 8월 29일
There is footage. https://dailyrecord.co.uk/news/scottish-news/michael-gove-raves-aberdeen-club-24862871?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar…
367
785
1.9천",,367,785,1.9천,"['https://pbs.twimg.com/ext_tw_video_thumb/1431968990662995972/pu/img/0hPsyEOYWcJZJSll.jpg', 'https://pbs.twimg.com/profile_images/1390359354575052800/6-Nv3TRk_mini.jpg']",https://twitter.com/miffythegamer/status/1431969262705463299
Edwin,@dwindandun,2021-08-29T17:19:54.000Z,"Edwin
@dwindandun
·
8월 30일","Remember when Mr. Bean realized he took the wrong paper near the end of the test? I just did the same thing 
GIF
1
5
81",🙃,1,5,81,['https://pbs.twimg.com/tweet_video_thumb/E9-X7EFVUAISG2M.jpg'],https://twitter.com/dwindandun/status/1432030261793853444
Drifter @ P2IS,Drifter @ P2IS,2021-08-30T12:52:09.000Z,"Drifter @ P2IS
@SMTDrifter
·
8월 30일","Random shower thought: Yoda sounds suspiciously like Mr Bean. Will investigate further.
12
4
32",,12,4,32,"['https://pbs.twimg.com/media/E-CkPMnXMAQzhP9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CkPWtWEAU-kyc?format=jpg&name=360x360']",https://twitter.com/SMTDrifter/status/1432325267469516803
Gary Bravo,@TheGaryBravo,2021-08-29T18:32:57.000Z,"Gary Bravo
@TheGaryBravo
·
8월 30일","As Mr Bean is trending, I thought I'd drop this nightmare inducing image in many timelines
7
8
97",,7,8,97,['https://pbs.twimg.com/media/E9-oppGWUAc3B2X?format=jpg&name=small'],https://twitter.com/TheGaryBravo/status/1432048642488217603
Followed by 100k+ Anti-Tories,@MarieAnnUK,2021-08-29T21:00:20.000Z,"Followed by 100k+ Anti-Tories
@MarieAnnUK
·
8월 30일","That awkward moment when you realise Michael Gove is Mr Bean's and Theresa May's lovechild... 
0:19
6.3만 조회수
Waz Swindlehurst
 님의
28
216
791",🤮 🤮 🤮,28,216,791,[],https://twitter.com/MarieAnnUK/status/1432085734836609027
Eva,@cantburpforevs,2021-08-30T01:08:40.000Z,"Eva
@cantburpforevs
·
8월 30일","I was watching Mr. Beans Holiday when suddenly i realized… I am mr bean
3
3
87",,3,3,87,['https://pbs.twimg.com/media/E-ADOLiXMAQRMn9?format=jpg&name=900x900'],https://twitter.com/cantburpforevs/status/1432148228515016705
