UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
jungkook pics,@kookpicsjjk,2021-08-30T15:15:33.000Z,"jungkook pics
@kookpicsjjk
·
8월 31일","24 HOURS ♡ 

#WeBeginWithJungkook
JUNGKOOK OUR INSPIRATION
5
23
47",,5,23,47,['https://pbs.twimg.com/media/E-DFD01XMAAEpbk?format=jpg&name=small'],https://twitter.com/kookpicsjjk/status/1432361353336008713
Screenie Babies,@ScreenieBabies,2021-08-30T22:52:16.000Z,"Screenie Babies
@ScreenieBabies
·
8월 31일","#NFTGiveaway

To celebrate our roadmap release in 3 hours, we’re giving away a Screenie Baby at launch!

FREE ALPHA: You need to own a Screenie to participate in future #beardrops 

All you gotta do :
 Like and follow
 RT
 Tag a #NFT boss

#NFTCommunity #nftdrops
GIF
145
138
153",🚨 🚨 ⚠ ⚠ 😉 👉 👉 👉,145,138,153,['https://pbs.twimg.com/tweet_video_thumb/E-EtiZtWQAEWUp6.jpg'],https://twitter.com/ScreenieBabies/status/1432476289466871810
Sylph Beauty,@sylphbeautybb,2021-08-30T15:00:36.000Z,"Sylph Beauty
@sylphbeautybb
·
8월 31일","We’ve adjusted our hours to better suit our valued customers. See our new hours! See our booking link in bio for available appointment slots.
9
6",,,9,6,['https://pbs.twimg.com/media/E-DBo33XsAYPDnP?format=jpg&name=small'],https://twitter.com/sylphbeautybb/status/1432357593268240387
NFTb,@nftbmarket,2021-08-30T18:57:27.000Z,"NFTb
@nftbmarket
·
8월 31일","We’re busy preparing fuel because we're less than 24 hours away from our monthly token burn!

31st August, 9:00AM EST
1.3M $NFTB tokens to be burned
650% increase in token burns

How pumped are you?

#NFTbEarn
23
46
120",⛽ 🔥 🗓 🔥 🔥,23,46,120,['https://pbs.twimg.com/media/E-D3zoeVIAMse_R?format=jpg&name=small'],https://twitter.com/nftbmarket/status/1432417196278304769
SpookySwap,@SpookySwap,2021-08-30T15:07:56.000Z,"SpookySwap
@SpookySwap
·
8월 31일","It's been an amazing 24 hours for $FTM and $BOO 

Our 24-hour volume is over $125M 

That's $40,000 in $BOO rewards for $xBOO holders only in the past 24 hours, who are now also earning $SCREAM 

#Fantom is heating up and 
@SpookySwap
 has even more to announce soon 
7
37
149",💜 🙀 💸 🎭 🔥,7,37,149,['https://pbs.twimg.com/media/E-DB4JJXsAIS9R0?format=png&name=small'],https://twitter.com/SpookySwap/status/1432359437050814472
Everybody’s Talking About Jamie - Musical,@JamieMusical,2021-08-30T18:25:16.000Z,"Everybody’s Talking About Jamie - Musical
@JamieMusical
·
8월 31일","In 48 hours it will be our 5 MINUTE CALL! We cannot wait to start the #JamieTour at 
@The_Lowry
! Who is coming to see us in Salford?! 
14
22
241",💙 ✨,14,22,241,['https://pbs.twimg.com/media/E-Dwe8nXoAItVAh?format=jpg&name=small'],https://twitter.com/JamieMusical/status/1432409099484946432
HxO PCs - amy⁷,@hotteok_pwr,2021-08-30T22:28:06.000Z,"HxO PCs - amy⁷
@hotteok_pwr
·
8월 31일"," BTS WW GIVEAWAY 

I have an extra Army Envelope so I will do a giveaway 

♡ BTS photocards
♡ OT7 Print 
♡ Handwritten Army Letter

Rules
- like, retweet
- ends in 24 hours  

Good luck!  
@BTS_twt
Link to our shop -> https://hxo-pcs.square.site
159
776
881",✨ ✨ 😌 💜,159,776,881,['https://pbs.twimg.com/media/E-EoDbjXsAIQp0u?format=jpg&name=small'],https://twitter.com/hotteok_pwr/status/1432470206958407681
SNHUCampusRec,@SNHUCampusRec,2021-08-30T21:49:25.000Z,"SNHUCampusRec
@SNHUCampusRec
·
8월 31일","Great to see over 200 
@SNHUOnCampus
 students, staff, and faculty walk through our doors for the first time in 17 months. Check out our hours and come visit us!
3
9",,,3,9,['https://pbs.twimg.com/media/E-Ee0YpXsAAz9Yc?format=png&name=small'],https://twitter.com/SNHUCampusRec/status/1432460475875438594
Brulik | NFT Promoter,@nft_brulik,2021-08-30T23:46:36.000Z,"Brulik | NFT Promoter
@nft_brulik
·
8월 31일"," #NFTGiveaway  

Introducing Couch, digital comfort #NFTs Own  = GMI

Couch GIVEAWAY:

  Follow 
@our_couch
  Like  & RT
  Tag 3 couch potatoes (frens)

Winner announced in 48 hours, good luck! 

#NFT #NFTCommunity #Giveaway
GIF
183
183
196",🛋 🛋 🛋 🛋 🛋 ❤ 🔃 🛋 🤞,183,183,196,['https://pbs.twimg.com/tweet_video_thumb/E-E55QSXEAcQuIu.jpg'],https://twitter.com/nft_brulik/status/1432489965443821578
Teodrose Fikremariam,@Teodrose_Fikre,2021-08-30T15:21:57.000Z,"Teodrose Fikremariam
@Teodrose_Fikre
·
8월 31일","This picture was taken in front of 
@pfizer
's building in Manhattan. If their science is going to win, who do you think will lose. 2 hours later, my son & I were denied service at a restaurant because I didn't have ""vaccine"" papers.

Our experience -> https://ghionjournal.com/jab-crow-2-0-my-two-year-old-son-and-i-were-denied-service-nyc/…
2
56
202",,2,56,202,['https://pbs.twimg.com/media/E-DF0GjWQAEq_0V?format=jpg&name=small'],https://twitter.com/Teodrose_Fikre/status/1432362963697029128
