UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ᅠ * ᅠ ᅠ𝑶𝑼𝑻 𝑵𝑬𝑨𝑹 𝑻𝑯𝑬 𝑺𝑰𝑳𝑶 𝑻𝑶𝑾𝑬𝑹.,@reclusivebehalf,2021-08-30T19:42:25.000Z,"ᅠ * ᅠ ᅠ𝑶𝑼𝑻 𝑵𝑬𝑨𝑹 𝑻𝑯𝑬 𝑺𝑰𝑳𝑶 𝑻𝑶𝑾𝑬𝑹.
@reclusivebehalf
·
8월 31일","⠀    
ᅠ
⠀⠀
ᅠᅠ         ‘ be nice or sit in the corner. ’ 
ᅠᅠ             
ᅠᅠ
2",,,,2,[],https://twitter.com/reclusivebehalf/status/1432428513555107840
Olga Tuleninova,@olgatuleninova,2021-08-30T19:47:54.000Z,"Olga Tuleninova
@olgatuleninova
·
8월 31일","Leonard Koscianski 
On the Corner
67
283",🦋,,67,283,['https://pbs.twimg.com/media/E-EDYgZX0AAMgzg?format=jpg&name=900x900'],https://twitter.com/olgatuleninova/status/1432429895133585411
ꜱᴛɪᴍᴍʏ ɴᴇᴜᴛʀᴏɴ,@BillieNoMxtes,2021-08-30T18:26:22.000Z,"ꜱᴛɪᴍᴍʏ ɴᴇᴜᴛʀᴏɴ
@BillieNoMxtes
·
8월 31일","with Halloween coming up around the corner my pronouns are now just “He” cause ill never be “Him” 
13
103",😔,,13,103,['https://pbs.twimg.com/media/E-Dwul9UcAIwH7B?format=jpg&name=900x900'],https://twitter.com/BillieNoMxtes/status/1432409373922394113
630am,@sixxthirtyAM,2021-08-30T23:06:38.000Z,"630am
@sixxthirtyAM
·
8월 31일","Dancing in the corner

Digital
10
31",,,10,31,['https://pbs.twimg.com/media/E-Ew4VpWEAQSrY_?format=jpg&name=small'],https://twitter.com/sixxthirtyAM/status/1432479908035497988
Harvard Softball,@HarvardSB,2021-08-30T18:36:16.000Z,"Harvard Softball
@HarvardSB
·
8월 31일","Our fall season is just around the corner! We'll play three games at home before finishing with a doubleheader at BU.

https://bit.ly/2WFy3VF

#OneCrimson #GoCrimson
6
98",,,6,98,['https://pbs.twimg.com/media/E-Dy9LYVQAIMrS9?format=jpg&name=small'],https://twitter.com/HarvardSB/status/1432411867729723396
Wall Art,@WallArtGroup,2021-08-30T20:10:32.000Z,"Wall Art
@WallArtGroup
·
8월 31일","A metal protective wall guard on the corner of a car park entrance. Sexy stuff hey.
2
4
38",,2,4,38,['https://pbs.twimg.com/media/E-EIkyTWYAAf5s2?format=jpg&name=large'],https://twitter.com/WallArtGroup/status/1432435587168997376
𝗛𝗬𝗨𝗙𝗖,@HYUFC_Official,2021-08-30T19:02:02.000Z,"𝗛𝗬𝗨𝗙𝗖
@HYUFC_Official
·
8월 31일","0-1 | 12’ | GOAL

A move from the training ground… the corner taker turns scorer with a sublime finish
1
3
27",⚽ 🔴 🔵,1,3,27,['https://pbs.twimg.com/media/E-D45avXsAE43eR?format=jpg&name=small'],https://twitter.com/HYUFC_Official/status/1432418352614498309
character actress georgie rae,@georgie_rae_,2021-08-30T22:17:37.000Z,"character actress georgie rae
@georgie_rae_
·
8월 31일","me standing in the corner by the stage
ᴅʏʟᴀɴ
@dylaneatswings
 · 8월 31일
0:04
us in berlin: haha wow life is Good chicago is back baby!  feels great 2 b home 

@georgie_rae_ in the background running 600 mph w a metal bucket full of loose cash:
1
1
39",🛸 🛸 😜 😌 🥂,1,1,39,"['https://pbs.twimg.com/media/E-ElnxcX0AY3QfB?format=png&name=small', 'https://pbs.twimg.com/profile_images/949006404379058176/JoBm4Be-_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1432466262731501568/pu/img/hrBd4tSHhRcFxJHy?format=jpg&name=240x240']",https://twitter.com/georgie_rae_/status/1432467572230868992
KCBraids&Beads,@KcbraidsBeads,2021-08-30T18:23:00.000Z,"KCBraids&Beads
@KcbraidsBeads
·
8월 31일","As schools go back soon that means that Halloween is just round the corner - this lace choker would be perfect #womaninbizhour #TMTinsta https://choosie.co.uk/product/black-lace-halloween-choker-necklace/…
11
9",,,11,9,['https://pbs.twimg.com/media/E-DBFWyXEAAzaB2?format=jpg&name=small'],https://twitter.com/KcbraidsBeads/status/1432408527692353541
UTSouthern Men's Basketball,@UTSMensBBall,2021-08-30T21:15:54.000Z,"UTSouthern Men's Basketball
@UTSMensBBall
·
8월 31일","Mark Your Calendars 

 is right around the corner! We’re excited to start our first season as the 
@GoFirehawks
!
6
16",‼ ‼ 🏀,,6,16,['https://pbs.twimg.com/media/E-EXiSpXMAIN0eT?format=jpg&name=medium'],https://twitter.com/UTSMensBBall/status/1432452037481009153
karmello english,@EnglishKarmello,2021-08-30T19:34:16.000Z,"karmello english
@EnglishKarmello
·
8월 31일","Sept 1st around the corner.. this when the real love supposed to be shown 
2
13
126",😎 📍,2,13,126,[],https://twitter.com/EnglishKarmello/status/1432426461777039364
𝚁𝚎𝚋𝚎𝚌𝚌𝚊 𝙱𝚎𝚒𝚝𝚜𝚌𝚑,@RebeccaBeitsch,2021-08-30T18:18:13.000Z,"𝚁𝚎𝚋𝚎𝚌𝚌𝚊 𝙱𝚎𝚒𝚝𝚜𝚌𝚑
@RebeccaBeitsch
·
8월 31일","Ordered what I thought was going to be takeout from my favorite place around the corner but they insisted I eat here so they could put a candle on my birthday lunch. 

Heat Da Spot, ladies and gentlemen. The food is a 10 but the family makes this place an 11!
5
1
38",,5,1,38,['https://pbs.twimg.com/media/E-Du3HGWUAUTEa5?format=jpg&name=small'],https://twitter.com/RebeccaBeitsch/status/1432407322249334788
