UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
송현철,@3UsVJVGKQ1QtBNL,2021-09-27T06:17:25.000Z,"송현철
@3UsVJVGKQ1QtBNL
·
15시간","매콤달달한 닭윙봉 고추장 볶음이 오늘의 샽하숙 메뉴에요~
 1차로 커피가루와 후추 파 소주등을 넣고 끓여서 핏기를 없앤 후, 양념에 30분 재워뒀어요. 2차로 브로커를 통해 얻어온 고추장을 이용하여 부담스럽지 않은 매콤함과 달달함을 느끼실 수 있답니다.
 추천 술 : 소맥 
10
30",🥰 🥰,10,,30,"['https://pbs.twimg.com/media/FARWZYaUUAQhd5a?format=jpg&name=small', 'https://pbs.twimg.com/media/FARWaCqVcAAaulV?format=jpg&name=360x360']",https://twitter.com/3UsVJVGKQ1QtBNL/status/1442372789449551877
김뫄뫄,@AnjuBlessUs,2021-09-20T05:38:10.000Z,"김뫄뫄
@AnjuBlessUs
·
9월 20일","본인 마캐한테 한복 입히는 커미션 맡겨볼 사람 계신가요 ·· 
0.1에 사진처럼 요로코롬 그려드립니다
( 커피 사마실 돈이 필요한 사람↑ )
1
1
2",😌 💭,1,1,2,['https://pbs.twimg.com/media/E_tKSygVcAEhFdP?format=jpg&name=small'],https://twitter.com/AnjuBlessUs/status/1439826195407773696
이꼬륵,@hungry__us,2021-09-24T08:54:59.000Z,"이꼬륵
@hungry__us
·
9월 24일","퓨즈들이 ‘원미닛커피’의 존재를 알고 있으니깐 울또 놀라는 거 짱 기여워ㅠㅠ
1
17
41",,1,17,41,['https://pbs.twimg.com/ext_tw_video_thumb/1441325237417644039/pu/img/7-NfDSIkNekjI0K1.jpg'],https://twitter.com/hungry__us/status/1441325277099925505
𝑆𝑡𝑒𝑙𝑙𝑎𝙴𝚂𝚃𝙷𝙴𝚁,@stellajoon912,2021-09-26T01:35:48.000Z,"𝑆𝑡𝑒𝑙𝑙𝑎𝙴𝚂𝚃𝙷𝙴𝚁
@stellajoon912
·
9월 26일","오늘은 기필코 떡밥을
따라잡아보겠따쉬!!!

낮잠 노노
오늘 커피 진하게 내려야지


#MyUniverse #ColdplayXBTS 
#BTSArmy #Got_ARMY_Behind_Us 
#AlwaysWithBTS 
@BTS_twt
3
3",💜 🐙 ✨ 🐨 🐢 🤤,,3,3,['https://pbs.twimg.com/media/FALMWgfVQAUJ1lq?format=jpg&name=small'],https://twitter.com/stellajoon912/status/1441939530047582222
人理,@M0US41_,2021-09-24T04:01:07.000Z,"人理
@M0US41_
·
9월 24일","세오도아 점지 받고 커피 마시다 울며 웃음 아놔
2",,,,2,[],https://twitter.com/M0US41_/status/1441251323588988928
유단아,@IM_UsPenguin,2021-09-27T01:50:51.000Z,"유단아
@IM_UsPenguin
·
19시간","@저겁ㅎ고처웃다가 커피쏟을뻔

개웃긴다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ",,,,,[],https://twitter.com/IM_UsPenguin/status/1442305705608843265
ToBeWithYou,@JaehwanUs,2021-09-22T08:19:54.000Z,"ToBeWithYou
@JaehwanUs
·
9월 22일","커피 엄청 마셨는데도 엄청 졸음이 쏟아지고 있음..
사진 좀 왕창 줘서 잠 좀 깨워줭 헿
#재환버블
1",🍀 ☘,,,1,[],https://twitter.com/JaehwanUs/status/1440591674699247625
人理,@M0US41_,2021-09-26T14:34:28.000Z,"人理
@M0US41_
·
9월 26일","여태까지는 심각한 짝사랑이라고도 할 수 있었겠지만, 이쯤이면 알 수 있다. 그래. 저건 광기다. 아니면 염병할 무언가일지도 모르고... 같은 느낌으로 독백하면서 마시던 커피 뱉을 뻔해서 정신차리는 하라미노와 그러든 말든 그사세 백장미조...
아가씨
@i10Zb
 · 9월 26일
이제 마주침
아 이거 불안불안한데~ 싶었는데 어느날 그 사람 손 붙잡고 
환희에 찬 표정으로 혹시 모델해주실수있으십니까<이러는 친구놈보기 twitter.com/M0US41_/status…
1",,,1,,['https://pbs.twimg.com/profile_images/1441969901208424452/3MWa_Wjq_mini.jpg'],https://twitter.com/M0US41_/status/1442135487523655687
𝐋𝞡𝛋𝖏,@Loki_for_us,2021-09-25T16:53:21.000Z,"𝐋𝞡𝛋𝖏
@Loki_for_us
·
9월 26일","커피 잔 수를 세는 건 이미 포기한지 오래야.
2",,,,2,[],https://twitter.com/Loki_for_us/status/1441808049191022602
徐 花,@duck_in_us,2021-09-21T18:29:33.000Z,"徐 花
@duck_in_us
·
9월 22일",아까 낮에 낮잠 잔데다가 저녁에 커피 마셨더니 아직 잠이 안 온다 큰일낫다ㅠ,,,,,[],https://twitter.com/duck_in_us/status/1440382707087724551
ㄱㅁ,@__GM_US__,2021-09-21T07:10:54.000Z,"ㄱㅁ
@__GM_US__
·
9월 21일","아카리랑 우스가 커피사오는 거 걸려서 카페가면
둘 다 약간 지들 메뉴 추가 기싸움할듯
뭐 추가하고 추가하고
급기야 케이크까지 추가함
2",,,,2,[],https://twitter.com/__GM_US__/status/1440211920447963139
🄹🄰🅈,@earth_and_us,2021-09-20T15:33:32.000Z,"🄹🄰🅈
@earth_and_us
·
9월 21일","@earth_and_us
 님에게 보내는 답글
2021/9/20

1. 가족들이랑 이케아 나들이를 다녀 왔다.

2. 저녁으로 파파존스 피자와 KFC 치킨을 먹었다.

3. 아들이 행복해하며 미니카 정리하는 것을 온 가족이 다 도와줬다.
1
1",,1,,1,[],https://twitter.com/earth_and_us/status/1439976026268782592
🄹🄰🅈,@earth_and_us,2021-09-21T15:09:32.000Z,"🄹🄰🅈
@earth_and_us
·
9월 22일","2021/9/21

1. 치즈케이크랑 커피로 아침을 먹었다. 요거트에 블루베리도 넣어서 먹었다.

2. 동생 가족이 엄마랑 추석 연휴 내내 같이 있는다고 했다. 그나마 둘째 딸이 엄마 가까이 살아서 얼마나 다행인지.

3. 저녁으로 수육을 만들어서 먹었다. 정말 부드럽고 맛있었다.
1
1",,1,,1,[],https://twitter.com/earth_and_us/status/1440332372914806788
쥬,@us_bijou,2021-09-22T11:37:47.000Z,"쥬
@us_bijou
·
9월 22일",커피 진자 진하게 마셔 애깅,,,,,[],https://twitter.com/us_bijou/status/1440641474308104207
챈,@_Chanus_,2021-09-20T09:53:50.000Z,"챈
@_Chanus_
·
9월 20일","@__CLou_Dy
 님, 
@starlike_us
 님, 
@0non_ONF_
 님에게 보내는 답글
너희 너무 귀엽게논다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
1",🤭 🤭 🤭 ❤ ❤ ❤ ❤,1,,,[],https://twitter.com/_Chanus_/status/1439890536362491906
(slow) 𝙎𝙏𝘼𝙍,@starlike_us,2021-09-20T09:55:35.000Z,"(slow) 𝙎𝙏𝘼𝙍
@starlike_us
·
9월 20일","나 구르미의 건강지키미야 온오니는 그런 구르미의 커피드링킹을 일러주고 ㅎㅅㅎ 챈이두 건강지키미 하자
1
1",🧊,1,,1,[],https://twitter.com/starlike_us/status/1439890977137647617
김연근,@_LoTUs64,2021-09-25T03:54:18.000Z,"김연근
@_LoTUs64
·
9월 25일","@_LoTUs64
 님에게 보내는 답글
재잘대던 권대딩이 갑자기 조용해졋는데도 이대리는 미동도 없엇음(아님) 속으로 내가너무띠꺼웟나 개싸가지엿나 나는그냥피곤해서그런건데.. 오만가지 생각 다 하고 잇음 그중애 쓸데잇는거라곤 한두개쯤? 근데 솔직히 그렇다고 막..엄청나게 도움될 것 같진 않앗음 ㅋㅋ
1
1",,1,,1,[],https://twitter.com/_LoTUs64/status/1441611995195719687
김연근,@_LoTUs64,2021-09-25T04:27:51.000Z,"김연근
@_LoTUs64
·
9월 25일","근데 솔직히 이대리가 대답 좀 대충햇다고 권알바를 신경 쓸 이유 그딴거 없잔아 걍 와서 커피만 사가면 되는건데 굳~이 사과해야겟다는 생각까지 함 자기도 왜 그러는지 이해도 못하고 카운터로 가서 권알바한테 말걸고 잇음
1",,,,1,[],https://twitter.com/_LoTUs64/status/1441620439499894791
카카오 Mt668 확실한 물건,@wBWZasFUy3hRexx,2021-09-26T02:51:32.000Z,"카카오 Mt668 확실한 물건
@wBWZasFUy3hRexx
·
9월 26일","༼  •᷅  ͟ʖ •᷅   ༽ 


나이트여성작업제파는곳 ghb삽니다

kkk3구입 강력파퍼팔아요

sted it would

☆랏슈파퍼☆

 ⎛⎝⎛✦ kkk3팔아요  ✦⎞⎠⎞ 

 department insi

강력각성제커피

the US justice

러쉬파퍼구입 강력-GHB구매하는곳
1",💎 💎 💎 💎 💎 🛰 🛰 🚋 🚋 🚋 🚋 🚋 🚋 🚡 🚡 🚙 🚙 🚙,,,1,[],https://twitter.com/wBWZasFUy3hRexx/status/1441958590433034242
Ray+,@YRgOtHC3bXXJUsT,2021-09-26T18:51:16.000Z,"Ray+
@YRgOtHC3bXXJUsT
·
9월 27일","@YRgOtHC3bXXJUsT
 님에게 보내는 답글
이래저래 둘러보면 내 눈에는 
그들이 돈을 주고 사는 것이 공장에서 찍어내지 못하는 웃음,즐거움,환희..뭐,그맇게 보인다.

행복하기 위해,좋아하는 것을 쫓아서 제 발로 찾아오신 분들.

내 나이면 부동산 돌아다니고,
차도 막 바꾸고,
가정의 화목을 위해서
마누라 눈치보고 애 돌봐야 되는데
1",,1,,,[],https://twitter.com/YRgOtHC3bXXJUsT/status/1442200113141600256
Ray+,@YRgOtHC3bXXJUsT,2021-09-26T18:56:34.000Z,"Ray+
@YRgOtHC3bXXJUsT
·
9월 27일","글쎄, 아직 그러질 믓하는 덜떨어진 삶이라 그런지
비싼 차보다는 그냥 숨 쉴 구멍이 되는 이런것들이 더 좋다.

내가 양복입고 사무실 죽치고 읹아있으면 이런 즐거움은 없었겠지.
밖에서 술대접이나 받고,
파트너사 가서 거들먹거리며 커피나 얻어 마셔봐야
결국 돌아오는 돈은 내 것도 아닌 걸.
1",,1,,,[],https://twitter.com/YRgOtHC3bXXJUsT/status/1442201448251416578
청둥오리신발,@fLZqEKS2T8cyVE2,2021-09-22T12:14:46.000Z,"청둥오리신발
@fLZqEKS2T8cyVE2
·
9월 22일","@T50UsRkph9TSm3Y
 님에게 보내는 답글
창작인가요!!!
1
1",,1,,1,[],https://twitter.com/fLZqEKS2T8cyVE2/status/1440650781326077964
다크커피,@T50UsRkph9TSm3Y,2021-09-23T09:28:05.000Z,"다크커피
@T50UsRkph9TSm3Y
·
9월 23일","러프 따와서 어떰캐릭터그린거
1",,1,,,[],https://twitter.com/T50UsRkph9TSm3Y/status/1440971218354507777
마르타가 커피를 마십니다 ⁷ -,@MartaFromDevon,2021-09-20T10:15:17.000Z,"마르타가 커피를 마십니다 ⁷ -
@MartaFromDevon
·
9월 20일","Will be there! #Got_ARMY_Behind_Us
BIGHIT MUSIC
@BIGHIT_MUSIC
 · 9월 20일
[출연] 오늘(9/20) 9:00PM <SDG Moment>에 #방탄소년단 이 출연합니다.

[Appearance] #BTS will be on the <SDG Moment> on Sept 20 at 9:00PM KST (Sept 20, 8:00AM ET)

 UN YouTube: https://youtu.be/kuEY7HMZpY8
2",💜 🐙 ▶,,,2,['https://pbs.twimg.com/profile_images/1377078197813092352/s8NryGbR_mini.jpg'],https://twitter.com/MartaFromDevon/status/1439895936327618564
마르타가 커피를 마십니다 ⁷ -,@MartaFromDevon,2021-09-26T17:11:29.000Z,"마르타가 커피를 마십니다 ⁷ -
@MartaFromDevon
·
9월 27일","Why are there even solos in this fandom? What’s the point? There’s plenty of solo singers/artists one can follow. Just leave us alone, geeeee
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3
5",💜 🐙,3,,5,[],https://twitter.com/MartaFromDevon/status/1442175003076747265
Freja,@BTSgoddessFreja,2021-09-24T13:31:21.000Z,"Freja
@BTSgoddessFreja
·
9월 24일","@MarciasParadise
 님과 
@MartaFromDevon
 님에게 보내는 답글
I’m glad it is not just me.
1
3",,1,,3,[],https://twitter.com/BTSgoddessFreja/status/1441394827954823180
마르타가 커피를 마십니다 ⁷ -,@MartaFromDevon,2021-09-24T13:32:05.000Z,"마르타가 커피를 마십니다 ⁷ -
@MartaFromDevon
·
9월 24일","Make that 3 of us 
1
1",💜 🐙 😭,1,,1,[],https://twitter.com/MartaFromDevon/status/1441395011317272577
ᴮᴱJhoa ⁷ ᴮᵁᵀᵀᴱᴿ,@_Jhoa_,2021-09-20T13:59:24.000Z,"ᴮᴱJhoa ⁷ ᴮᵁᵀᵀᴱᴿ
@_Jhoa_
·
9월 20일","@cutetaeful
 님과 
@MartaFromDevon
 님에게 보내는 답글
When work is over lol
2
4",,2,,4,[],https://twitter.com/_Jhoa_/status/1439952336223408128
마르타가 커피를 마십니다 ⁷ -,@MartaFromDevon,2021-09-20T14:01:10.000Z,"마르타가 커피를 마십니다 ⁷ -
@MartaFromDevon
·
9월 20일","haha, when we used to work at the office, this was all of us literally at 5:01 pm 
1
4",💜 🐙 😂 💜,1,,4,[],https://twitter.com/MartaFromDevon/status/1439952779393568773
커피,@coffeesnurf199x,2021-09-23T17:25:55.000Z,"커피
@coffeesnurf199x
·
9월 24일","@weareoneEXO
 님에게 보내는 답글
Let us not be suprised anymore because we know how **** his company is. Let's just give all our full support to Kai and other member.",,,,,[],https://twitter.com/coffeesnurf199x/status/1441091469205327879
Nina∞⁷,@najisujhojitajk,2021-09-22T08:50:17.000Z,"Nina∞⁷
@najisujhojitajk
·
9월 22일","@popfrench_7
 님과 
@IOt7army
 님에게 보내는 답글
Idk I´m not so sure about that. I heard a lot of people in the industry are saying is actually a jerk
3
6",🐳 💜 🐙,3,,6,[],https://twitter.com/najisujhojitajk/status/1440599320214966273
마르타가 커피를 마십니다 ⁷ -,@MartaFromDevon,2021-09-22T09:05:04.000Z,"마르타가 커피를 마십니다 ⁷ -
@MartaFromDevon
·
9월 22일","Yes, he's got a really bad reputation in the UK. It's kind of a joke that he's in the US because he run out of people to annoy here (I never followed) For all these US hosts is only work, which fair enough. I just expect them to be respectful, in this case he crossed the line.
1
4",💜 🐙,1,,4,[],https://twitter.com/MartaFromDevon/status/1440603038406754308
