UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
디모 가사 봇,@Deemo_lyrics,2021-08-30T22:59:12.000Z,"디모 가사 봇
@Deemo_lyrics
·
8월 31일","love you always deeply,
언제나 사랑하고 있어, 깊이,

genuinely, immensely, steadily with all my heart.
진심으로, 대단히, 변함없이, 내 마음을 다해.

Be strong and all will be alright.
강해져야해, 그럼 모든건 괜찮아질거야.

_Marigold
1
3",,,1,3,[],https://twitter.com/Deemo_lyrics/status/1432478037048627202
SignoreRatto,@SignoreRatto,2021-08-30T22:52:13.000Z,"SignoreRatto
@SignoreRatto
·
8월 31일","#Thanatos #Hadesgame #Hades #Fanart #HadesFanart 

As a rat-lover I was very glad to know that companion from Thanatos is Mort. So I always thought of Thanatos with rats 
4
736
2.4천",🐀,4,736,2.4천,['https://pbs.twimg.com/media/E-EtTiOXsAIa6eU?format=jpg&name=900x900'],https://twitter.com/SignoreRatto/status/1432476276581883904
Amelia Alakchanda,@AAlakchanda,2021-08-30T23:22:43.000Z,"Amelia Alakchanda
@AAlakchanda
·
8월 31일","Home is where truly the heart is. 
Happy 64th Independence Day Malaysia  !

“The country with the best culture and food” wherever I am, I’m always proud to say this.  
#MalaysiaBoleh
8
242
629",♥,8,242,629,['https://pbs.twimg.com/media/E-E0jUFUUAMUB0W?format=jpg&name=small'],https://twitter.com/AAlakchanda/status/1432483951868661761
Marleny,@xomarleeny,2021-08-30T23:15:22.000Z,"Marleny
@xomarleeny
·
8월 31일","My best friend is no longer here with me  May you Rest In Peace my love  I will always love you 
3
28
260",✨ 🥺 ☹ ❤,3,28,260,"['https://pbs.twimg.com/media/E-Ey2_tVIAEOSmq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Ey2_sVEAAUfUM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Ey2_uVUAEfZsD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Ey2_tUcAAPQF6?format=jpg&name=360x360']",https://twitter.com/xomarleeny/status/1432482102885302279
ChuckyFan101,@Chuckyfan1011,2021-08-30T23:57:15.000Z,"ChuckyFan101
@Chuckyfan1011
·
8월 31일","HAPPY 30TH ANNIVERSARY CHILD’S PLAY 3! It’s so nice to know that my favorite chucky movie has joined the 30 years club along with the first two. This has always been my favorite chucky movie and that will never change no matter what. Happy 30 cp3!
2
13
50",🔪 🔪,2,13,50,['https://pbs.twimg.com/media/E-E8ddRUUAIl4Ps?format=jpg&name=small'],https://twitter.com/Chuckyfan1011/status/1432492643750014986
"Maurice R. Swinney, EdD",@docswin,2021-08-30T22:29:29.000Z,"Maurice R. Swinney, EdD
@docswin
·
8월 31일","Welcome back! I had an amazing time connecting with school communities across Chicago today. The energy, joy, and positivity of the first day of school will always be unmatched. Have a great year! #TheBestAreWithCPS
3
42",,,3,42,"['https://pbs.twimg.com/media/E-EoWGlXEAIGVHz?format=jpg&name=small', 'https://pbs.twimg.com/media/E-EoSAGXEAIzb7T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-EoSAGWQAAVVCN?format=jpg&name=360x360']",https://twitter.com/docswin/status/1432470557761712133
Bon Hanson,@BonHanson79,2021-08-30T22:52:58.000Z,"Bon Hanson
@BonHanson79
·
8월 31일","Y'all know you will always be safe with me 
MaggieGood Trouble
@good_trouble96
 · 8월 29일
I’m safe
30
185
335",🌊 ❤ ⭐ ⭐ 💙 ❤,30,185,335,"['https://pbs.twimg.com/profile_images/1429406895765291012/WOVSHS4q_mini.jpg', 'https://pbs.twimg.com/media/E96aA-8VQAUj_g7?format=jpg&name=small']",https://twitter.com/BonHanson79/status/1432476467204530177
Manning Krull,@ManningKrull,2021-08-30T22:16:09.000Z,"Manning Krull
@ManningKrull
·
8월 31일","Every horror movie I watch where a terrified person goes to open a closet with a weapon in their hand (which is ALL of them!), I always imagine it's gonna be Brad Pitt smiling sheepishly like ""ya got me""
2
2
20",,2,2,20,['https://pbs.twimg.com/media/E-ElPuQXsAM5VBX?format=jpg&name=small'],https://twitter.com/ManningKrull/status/1432467202066849802
Lowitja Institute,@LowitjaInstitut,2021-08-30T23:41:29.000Z,"Lowitja Institute
@LowitjaInstitut
·
8월 31일","As we all continue to feel the ongoing impacts of the pandemic, Lowitja Institute has gifted its employee's wellbeing leave, to take time for our mental health. Please be patient with us getting back to you until Wed 8 Sept. Help is always there if you need it. LifeLine: 131114
1
7
46",,1,7,46,['https://pbs.twimg.com/media/E-E43FNX0AcgcCn?format=jpg&name=small'],https://twitter.com/LowitjaInstitut/status/1432488677733773313
Bill Bowtell AO,@billbowtell,2021-08-30T22:57:33.000Z,"Bill Bowtell AO
@billbowtell
·
8월 31일","Restrictions  always part of “living with Covid”. “[Israel]which appeared to have put the coronavirus pandemic behind it just a few months ago after a cutting-edge vaccine drive, is now re-imposing regulations in a bid to clamp down on rising infections”
Cabinet okays new restrictions on shops and venues, as cases spike further
Starting Monday, stores must once again limit customer numbers; from Wednesday, nearly all non-commerce businesses must require Green Pass proof-of-vaccine for visitors
timesofisrael.com
14
128
243",,14,128,243,['https://pbs.twimg.com/card_img/1440803337385873421/HNw43SKP?format=jpg&name=small'],https://twitter.com/billbowtell/status/1432477619547561985
