UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
RabidRaccoon 광쿤,@rabidraccoon10,2021-08-27T11:15:39.000Z,"RabidRaccoon 광쿤
@rabidraccoon10
·
8월 27일","""나는 절반만 살아있고 내 힘의 많은 부분들은 앉아있거나 걷는데 소비된다.""

H. P. 러브크래프트
H. P. Lovecraft
-1933년 R. H. Barlow에게 보낸 편지 中
1
6
8",,1,6,8,[],https://twitter.com/rabidraccoon10/status/1431213819083169794
Hammer Horror Films,@HorrorHammer1,2021-08-27T19:08:48.000Z,"Hammer Horror Films
@HorrorHammer1
·
8월 28일","Dated photo of Kurt Barlow 'Salems Lot' CBS (1979)
27
187
1.3천",,27,187,1.3천,['https://pbs.twimg.com/media/E90dgCVXIAAD_7k?format=jpg&name=900x900'],https://twitter.com/HorrorHammer1/status/1431332891812941828
Grant Petersen,@GP_O11,2021-08-30T05:32:32.000Z,"Grant Petersen
@GP_O11
·
8월 30일","#Saturn from my backyard in #Johannesburg
Celestron 8"" - ZWOASI224mc - 3 x barlow - CGEM DX mount #Astrophotography
16
112
847",,16,112,847,['https://pbs.twimg.com/media/E-A_niCWEAEtVC0?format=jpg&name=small'],https://twitter.com/GP_O11/status/1432214633922928642
Queens of Bravo,@queensofbravo,2021-08-30T17:38:48.000Z,"Queens of Bravo
@queensofbravo
·
8월 31일","New confessional for Lisa Barlow  #RHOSLC
9
15
268",❤,9,15,268,['https://pbs.twimg.com/media/E-Dl2RhVkAEkNbI?format=jpg&name=small'],https://twitter.com/queensofbravo/status/1432397404779675649
Grant Petersen,@GP_O11,2021-08-30T05:30:00.000Z,"Grant Petersen
@GP_O11
·
8월 30일","#Venus on Sunday evening.
Celestron 8"" - ZWOASI224mc - 850nm IR filter - 2 x barlow - CGEM DX mount #Astrophotography
5
25
169",,5,25,169,['https://pbs.twimg.com/media/E-A_CbeWEAE8xky?format=jpg&name=360x360'],https://twitter.com/GP_O11/status/1432213995054829570
Maverick Foothills EDA,@Maverick4change,2021-08-27T09:55:18.000Z,"Maverick Foothills EDA
@Maverick4change
·
8월 27일","Foothills #MaverickParty guy, Josh Wylie of Millarville. Former oil patch executive, ranch rodeo fan, family man, believer in freedom and western common sense. Incumbent MP John Barlow has never had to fight an election. Josh has never backed down from a fight. #Elxn44 #cdnpoli
2
17
42",,2,17,42,['https://pbs.twimg.com/media/E9ye_b0WYAMk3ka?format=jpg&name=small'],https://twitter.com/Maverick4change/status/1431193599195160577
Maverick Foothills EDA,@Maverick4change,2021-08-27T09:01:03.000Z,"Maverick Foothills EDA
@Maverick4change
·
8월 27일","Foothills CPC MP John Barlow wouldn’t attend a mtg he was invited to in Crowsnest Pass re: the Grassy Mountain mine project. #MaverickParty candidate Josh Wylie attended to emphasize our objection to the feds meddling in areas of provincial jurisdiction! #cdnpoli #Elxn44 Example:
2
9
33",,2,9,33,['https://pbs.twimg.com/media/E9ySki8XsAkMFlS?format=jpg&name=small'],https://twitter.com/Maverick4change/status/1431179943006941184
Darren Criss Army,@DarrenArmy,2021-08-30T04:12:52.000Z,"Darren Criss Army
@DarrenArmy
·
8월 30일","Abigail Barlow, Darren Criss, and Emily Bear at Elsie Fest 2021: Broadway's Outdoor Music Festival at Prospect Park Bandshell on August 29, 2021 in New York City. (Photos by Jenny Anderson/Getty Images for Elsie Fest)
1
11
69",,1,11,69,"['https://pbs.twimg.com/media/E-AsFv_WEAAB_Wc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AsSAbXEAAUneN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AsKHCX0AIqnvM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AsV2iWQAESjMn?format=jpg&name=360x360']",https://twitter.com/DarrenArmy/status/1432194586508681224
Keith Bramley,@KeefBram,2021-08-27T20:32:45.000Z,"Keith Bramley
@KeefBram
·
8월 28일","Bit of #Moon last night after shooting Jupiter, I left the 2x barlow in which meant I had to take two frames, regret it now as its a little soft on the left, but overall I'm pleased. ZWO 294MC pro, MN190, stack of 250 per frame #astrophotography  #ThePhotoHour #luna #lunar
1
4
24",,1,4,24,['https://pbs.twimg.com/media/E90wpkIWYA4t6-k?format=jpg&name=small'],https://twitter.com/KeefBram/status/1431354016957673476
Steve 'Sirius' Brown - amateur astronomer,@sjb_astro,2021-08-29T08:36:10.000Z,"Steve 'Sirius' Brown - amateur astronomer
@sjb_astro
·
8월 29일","Another shot of #Jupiter from last night. Tried my camera through a 2x barlow lens to get a larger disc. Ended up being not quite as good quality. The shadow of Io can be seen near the centre of the disc. #Astronomy #Astrophotography
6
17
104",🔭 📷 ✨ 🌙,6,17,104,['https://pbs.twimg.com/media/E98fvzBXsAAAStK?format=png&name=small'],https://twitter.com/sjb_astro/status/1431898456600293376
Eve Barlow,@Eve_Barlow,2021-08-29T15:51:09.000Z,"Eve Barlow
@Eve_Barlow
·
8월 30일","love this and you 
@bariweiss
‘The far Left have won and taken over America’s elite institutions – we need to start again'
Journalist and culture war warrior Bari Weiss tells Zoe Strimpel her plan to help the US fight the ideological rot enveloping it
telegraph.co.uk
22
222",,,22,222,['https://pbs.twimg.com/card_img/1440134531542097923/JkAblc4r?format=jpg&name=small'],https://twitter.com/Eve_Barlow/status/1432007927427174409
Amber Heard Italia Fans,@AmberHeardIT,2021-08-26T07:38:07.000Z,"Amber Heard Italia Fans
@AmberHeardIT
·
8월 26일","Friendship goals  #AmberHeard, Eve and Rafa  via 
@Eve_Barlow
 IG  #wearewithyouamberheard
1
6
82",😍 ❤ ❤,1,6,82,['https://pbs.twimg.com/media/E9s2ARLWEAMsYVo?format=jpg&name=small'],https://twitter.com/AmberHeardIT/status/1430796687191289858
Astrofotografix,@astrofotografix,2021-08-29T20:22:47.000Z,"Astrofotografix
@astrofotografix
·
8월 30일","Jupiter, Io and Europa from last Friday night. About 80 minute time lapse. Skymax 90mm with 3x Barlow. Average seeing. Some tiny processing artefacts on the North side of the planet. Thanks again to 
@chrfrde
 and 
@randomblamekd
 for inspiration and tips!
GIF
3
10
85",,3,10,85,['https://pbs.twimg.com/tweet_video_thumb/E9_BwZOWQAUWDT9.jpg'],https://twitter.com/astrofotografix/status/1432076286076334083
The Casual Sex Captain,@jiggyjayy2,2021-08-23T02:34:20.000Z,"The Casual Sex Captain
@jiggyjayy2
·
8월 23일","Miss Kissing Kate Barlow gave them hell behind Sam.
13
627
1.9천",,13,627,1.9천,[],https://twitter.com/jiggyjayy2/status/1429633073839230979
Darren Criss Army,@DarrenArmy,2021-08-29T00:33:22.000Z,"Darren Criss Army
@DarrenArmy
·
8월 29일","Darren with Barlow & Bear and Betsy Wolfe at Elsie rehearsal via Emily Bear's IG Story https://instagram.com/stories/mlebear/2650460113164550242/…
0:04
769 조회수
8
73",,,8,73,[],https://twitter.com/DarrenArmy/status/1431776957369307138
CTV News,@CTVNews,2021-08-24T23:00:03.000Z,"CTV News
@CTVNews
·
8월 25일","Liberal candidate Sean Fraser, NDP candidate Bonita Zarrillo and Conservative candidate John Barlow discuss Canada's housing crisis. https://ctvnews.ca/video?clipId=2265917&taid=612579f2029ed300019117cb&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter…
11
9
7",,11,9,7,['https://pbs.twimg.com/media/E9l11k1WUAQ668A?format=jpg&name=small'],https://twitter.com/CTVNews/status/1430303922019872776
Darren Criss Army,@DarrenArmy,2021-08-30T06:10:04.000Z,"Darren Criss Army
@DarrenArmy
·
8월 30일","Darren Criss with Barlow and Bear singing Burn For You at Elsie Fest 2021.
Darren Criss with Barlow and Bear singing Burn For You at Elsie Fest...
youtube.com
1
11
76",,1,11,76,['https://pbs.twimg.com/card_img/1439851408384086016/xAgFgovb?format=jpg&name=240x240'],https://twitter.com/DarrenArmy/status/1432224079843573760
Elsie Fest,@ElsieFest,2021-08-29T22:08:12.000Z,"Elsie Fest
@ElsieFest
·
8월 30일","Barlow & Bear are ready for their very first show together! #ElsieFest
@abigailbarloww
 @mlebear
3
14
194",,3,14,194,"['https://pbs.twimg.com/media/E9_Z6M1XEAkGVnC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9_Z6M2XoAQeT4J?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9_Z6MyX0AUeBxm?format=jpg&name=360x360']",https://twitter.com/ElsieFest/status/1432102811504889861
Ray Neg,@raymnegron,2021-08-28T15:03:42.000Z,"Ray Neg
@raymnegron
·
8월 29일","Perfect night last night; Clear skies and low humidity because of the Saharan dust in the air. I was able to image Venus, Jupiter, Saturn and Uranus on a  single night with my #Celestron C8, 
@Televue
 3x Barlow , 
@ZWO
 ASI224MC for the Gas Giants and a #ZWO ASI 290MM for Venus
3
12
44",,3,12,44,"['https://pbs.twimg.com/media/E94vHTPWEAIb_-M?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94vJbYWQAcbKSm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94vITbWEAgdvFz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94vKKbXEA8cwVW?format=jpg&name=360x360']",https://twitter.com/raymnegron/status/1431633596280934404
Astrofotografix,@astrofotografix,2021-08-25T19:34:10.000Z,"Astrofotografix
@astrofotografix
·
8월 26일","As promised 
@jasper_blomme
 and 
@WarksAstroUK
 an image and equipment tweet. Skymax 90mm celestron 3x Barlow ZWO AS120mc. Jupiter with Io transit week before last. Firecapture, PIPP, AS!, Registax and Winjupos. Attempted to align RGB channels - thanks 
@chrfrde
 and 
@randomblamekd
 !
2
8
58",,2,8,58,"['https://pbs.twimg.com/media/E9qQTWXXsAQvwWp?format=jpg&name=small', 'https://pbs.twimg.com/media/E9qQTipX0AA7YJm?format=jpg&name=360x360']",https://twitter.com/astrofotografix/status/1430614499418050567
PA Images,@PAImages,2021-08-26T08:28:06.000Z,"PA Images
@PAImages
·
8월 26일","Sophie Douglas, Caitlin Anderson and Emmanuella Damptey, who play aliens from the planet Hanyana in the Edinburgh Fringe show WeCameToDance, explore the mirror maze at Camera Obscura & World of Illusions, Edinburgh.

Jane Barlow - see more at https://go.paimages.co.uk/LatestNews_T

#edfringe
7
12",📷,,7,12,"['https://pbs.twimg.com/media/E9tBDMVXIAImFsl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9tBGrnWYAE-gT6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9tBDMVWEAMuayH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9tBGsaWQAQNeXH?format=jpg&name=360x360']",https://twitter.com/PAImages/status/1430809262935117824
Larry E,@LarryE68,2021-08-28T23:54:32.000Z,"Larry E
@LarryE68
·
8월 29일","The Royals have now won 3 games in a row against the Mariners. 

The Mariners are 5 games out of the WC with 33 to play.

I wonder if all the M’s fans that said the Royals were asking too much for Merrifield & Barlow still feel that way?
4
7
129",,4,7,129,[],https://twitter.com/LarryE68/status/1431767185773445123
Screamflower,@dreamflower127,2021-08-23T03:22:11.000Z,"Screamflower
@dreamflower127
·
8월 23일","I'd never seen this before and now I will be crying until next year

Bob Weir sings Cassidy to John Perry Barlow on his death bed:
Joe ATTiTUNE
@vxl908
 · 8월 23일
@dreamflower127 님과 @grateful4dead 님에게 보내는 답글
https://youtube.com/watch?v=yTUYH8LP2Jc…
15
7
74",👻 ☠,15,7,74,['https://pbs.twimg.com/profile_images/1275181758636527617/co9dbdaA_mini.jpg'],https://twitter.com/dreamflower127/status/1429645116633976832
Leicestershire Rural Policing Team,@LeicsRuralCrime,2021-08-23T07:52:44.000Z,"Leicestershire Rural Policing Team
@LeicsRuralCrime
·
8월 23일","A successful joint counties operation in Notts yesterday. Involving  officers from Leics, Notts, Derbys and Environmental Agency, patrolling the river Trent and fishing lakes. PC 2226 Barlow, SPC 5983 Martin 
@NottsRuralCops
, 
@DerbyshireRCT
, 
@LeicsSpecials
 @LeicsPCC
,
@EnvAgencyMids
1
6
27",,1,6,27,['https://pbs.twimg.com/media/E9dck-oXoAEIUXf?format=jpg&name=small'],https://twitter.com/LeicsRuralCrime/status/1429713199776075777
Panther4Life,@JediMaster868,2021-08-25T19:05:46.000Z,"Panther4Life
@JediMaster868
·
8월 26일","Mintz up 35 spots to 68!

Dom Barlow is now at 61!

Previously unranked. Now carries a 4rating. 

Pitt’s top priority IMO.
Craig Meyer
@CraigMeyerPG
 · 8월 26일
Pitt commit Judah Mintz is No. 68 in the newest Rivals rankings for the 2022 class, up 35 spots from where he last was. If he stays there, he'll be the highest-rated recruit of Jeff Capel's tenure

https://n.rivals.com/prospect_rankings/rivals150/2022…
2
3
41",🔥 🔥 🔥 👀 ⭐ 🏀,2,3,41,['https://pbs.twimg.com/profile_images/1207313084261523456/8mCKbJzG_mini.jpg'],https://twitter.com/JediMaster868/status/1430607349920710665
Fake News 24/7,@didnothappens,2021-08-23T20:03:19.000Z,"Fake News 24/7
@didnothappens
·
8월 24일","#Corrie confirm their next big issue-led storyline will be a volcano eruption in Wetherfield, and how the volcanic ash triggers Tracy Barlow’s PTSD, and the palpable fear on the street reminds Gary Windass of his army days.

Thank you for raising awareness, Corrie. 
3
10
79",🙏,3,10,79,"['https://pbs.twimg.com/media/E9gDy53WYAYsV-k?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9gDy5yWQAYDG-h?format=jpg&name=small']",https://twitter.com/didnothappens/status/1429897058983596035
The Reelists,@TheReelistsFilm,2021-08-27T16:51:18.000Z,"The Reelists
@TheReelistsFilm
·
8월 28일","Tune in tonight on Virgin Media One at 9pm for 
@MarieKeating
's #Concert4Cancer featuring Ed Sheeran, Gary Barlow, Saint Sister and..... The Reelists!

We were so delighted to be a small part of this wonderful show and can't wait for you all to see it.
4
15",,,4,15,['https://pbs.twimg.com/ext_tw_video_thumb/1431298004619833345/pu/img/-CyBVpbOjoSH7YqS.jpg'],https://twitter.com/TheReelistsFilm/status/1431298285310971906
Julie H. DeLong,@jhdelong,2021-08-24T03:25:06.000Z,"Julie H. DeLong
@jhdelong
·
8월 24일","Grateful Dead book club info!

WHAT: Zoom-based monthly book club in which we meet and discuss a book about the Grateful Dead

FIRST READING: Mother American Night by John Perry Barlow.

WHEN: Thursday, September 9th, time TBD 

<thread>
9
9
64",,9,9,64,[],https://twitter.com/jhdelong/status/1430008237991112705
NDI Africa Team,@ndiafrica,2021-08-25T13:49:00.000Z,"NDI Africa Team
@ndiafrica
·
8월 25일","NDI's Gemima Barlow (Deputy Director of Southern & East #Africa) & Frieda Arenos (
@FriedaArenos
 / 
@NDIgov
 ) speak with 
@CIPE_ACGC
 on 
@NDI
's executive transitions programming around the world, notably in West Africa. 

Listen to the podcast here!
Democracy That Delivers #277: Rapid Response – NDI's Experience Working through Transitions -...
The 5th episode of CIPE's anti-corruption rapid response podcast mini-series features the National Democratic Institute's Program Director Frieda Arenos and Southern and East Africa Deputy Regional...
cipe.org
4
15",🔊,,4,15,['https://pbs.twimg.com/card_img/1439993047433957376/_D0xR4W5?format=png&name=small'],https://twitter.com/ndiafrica/status/1430527632878096387
Melbourne United,@MelbUnitedHQ,2021-08-27T04:33:43.000Z,"Melbourne United
@MelbUnitedHQ
·
8월 27일","“I’m really excited to get started with United. I’m really looking forward to the season – it's going to be a fun year with Newley, Barlow & Goulding, who I've played with before.”
@mattlogue7
 spoke with Delly ahead of today's announcement
https://news.com.au/sport/basketball/matthew-dellavedova-officially-joins-melbourne-united-but-keeps-nba-door-open/news-story/594c1cbe61ce66b959f9cc8777b7c285… via 
@newscomauHQ
Delly keeps NBA dream alive
Matthew Dellavedova has officially joined Melbourne United, but his championship-winning NBA career isn’t over.
news.com.au
4
55",,,4,55,['https://pbs.twimg.com/card_img/1441179623711150091/YtHrbeGF?format=jpg&name=small'],https://twitter.com/MelbUnitedHQ/status/1431112668971106307
USC Trojans,@USC_Athletics,2021-08-25T03:57:32.000Z,"USC Trojans
@USC_Athletics
·
8월 25일","""I love the game. I really do try to pour my heart and soul into it.""
@keaontay_ingram
 and 
@darwin_barlow
 are back healthy and ready to run.
Ingram and Barlow Return
usctrojans.com
8
67",,,8,67,['https://pbs.twimg.com/ad_img/1430377995957538822/FXMof871?format=jpg&name=small'],https://twitter.com/USC_Athletics/status/1430378785216495617
Roberto Ferrero | Cielos Boreales,@CielosBoreales,2021-08-25T18:47:09.000Z,"Roberto Ferrero | Cielos Boreales
@CielosBoreales
·
8월 26일","Júpiter e Ío. SC8"", ASI178MM, Barlow x2. https://astrofotografia.cielosboreales.com/jupiter-e-io/
4
57
570",🦉 🔭,4,57,570,['https://pbs.twimg.com/media/E9qFW12XsAEeP-z?format=jpg&name=small'],https://twitter.com/CielosBoreales/status/1430602664283344907
Tlatoani_Cuauhtemoc,@Cuauhtemoc_1521,2021-08-30T14:48:51.000Z,"Tlatoani_Cuauhtemoc
@Cuauhtemoc_1521
·
8월 30일","Fotografía de los trabajos realizados en la década de los 60s en el Templo Mayor de Tlatelolco, donde de aprecia al fondo la antigua iglesia de Santiago. Aunque las excavaciones en el sitio iniciaron en 1944 con Barlow y Espejo, existe evidencia de trabajos previos desde el sXIX
3
140
674",,3,140,674,['https://pbs.twimg.com/media/E-C-8jwVUAMVm7C?format=jpg&name=small'],https://twitter.com/Cuauhtemoc_1521/status/1432354633830178828
Rafa Barberá,@rbarbera,2021-08-28T01:05:13.000Z,"Rafa Barberá
@rbarbera
·
8월 28일","Júpiter esta noche. Mak127, barlow 2x y QHY462C
GIF
7
13
98",🏡 ✨ 🔭 📷,7,13,98,['https://pbs.twimg.com/tweet_video_thumb/E91vPywWUAAx-Wi.jpg'],https://twitter.com/rbarbera/status/1431422585556832256
Roberto Ferrero | Cielos Boreales,@CielosBoreales,2021-08-24T16:56:19.000Z,"Roberto Ferrero | Cielos Boreales
@CielosBoreales
·
8월 25일","Saturno este pasado sábado. SC8, ASI178MM con barlow x2 y filtros RGB Baader. Procesado con PIPP, AS3!, Winjupos y Astrosurface.
12
40
337",🦉 🔭,12,40,337,['https://pbs.twimg.com/media/E9kiXszX0AEVhp-?format=jpg&name=small'],https://twitter.com/CielosBoreales/status/1430212384233250822
Joël Petit,@Petit__joel,2021-08-24T22:07:50.000Z,"Joël Petit
@Petit__joel
·
8월 25일","Deux géantes gazeuses ...
Lunette 100ED, barlow 2X, monture HEQ5, Canon 5D (Eos Movie Record) et traitement avec Registax. 
Pas à la hauteur de certaines et certains mais il faut faire avec ce qu'on a !
3
4
35",,3,4,35,"['https://pbs.twimg.com/media/E9lpt3VXEAQRwo2?format=jpg&name=small', 'https://pbs.twimg.com/media/E9lp1LBXMAcowjT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9lpxVXXoAIU5rH?format=jpg&name=small', 'https://pbs.twimg.com/media/E9lp2v6XMAA5DTI?format=jpg&name=360x360']",https://twitter.com/Petit__joel/status/1430290780661460995
