UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
knight.,@knightjacob_,2021-08-18T13:08:19.000Z,"knight.
@knightjacob_
·
8월 18일","Cloud Cafe and Sunset Cafe.

han river café with this baby na busy mag take ng selfie.
1
1
4",📍,1,1,4,"['https://pbs.twimg.com/media/E9E01h0UYAEWpsJ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9E02NiVUBEL803?format=jpg&name=360x360']",https://twitter.com/knightjacob_/status/1427980679787147264
ChlorineDioxide,@Chl0r1n3Di0x1d3,2021-08-06T17:56:10.000Z,"ChlorineDioxide
@Chl0r1n3Di0x1d3
·
8월 7일","Oasis Lounge aka Sunset Cafe animated GIF. This one is a bit weird. because we all know it used to call Sunset Cafe right? Now i found out it was called 'Oasis Lounge' on Habbo USA (i swear it was Sunset Cafe there as well?? :S)

#habbo #habbohotel #oldskool #memories #nostalgia
GIF
2
1
2",,2,1,2,['https://pbs.twimg.com/tweet_video_thumb/E8IDOJGX0AURWKr.jpg'],https://twitter.com/Chl0r1n3Di0x1d3/status/1423704466818207750
cea,@jookkulwalker,2021-08-07T06:23:53.000Z,"cea
@jookkulwalker
·
8월 7일","i love my current sunset cafe vibes layout but THIS HWASA is practically begging me to change my pfp 
3",🥵,,,3,"['https://pbs.twimg.com/media/E8KuzalVEAQtHQj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8KuzamVEAUochx?format=jpg&name=360x360']",https://twitter.com/jookkulwalker/status/1423892637006778375
Rachel Miller,@RachelBuk,2021-08-12T12:54:05.000Z,"Rachel Miller
@RachelBuk
·
8월 12일","Lunchtime walk up to one of my favourite spots and a lovely coffee from Sunset Cafe Norwich  Not a bad Thursday so far! 
2
6",😊 😊,2,,6,"['https://pbs.twimg.com/media/E8l4C6AWYAA2f01?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8l4DViXIAcovOv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8l4D6WXEAMMDRK?format=jpg&name=360x360']",https://twitter.com/RachelBuk/status/1425802769357852674
Best (Social Media App),@THEdotBest,2021-08-23T15:15:19.000Z,"Best (Social Media App)
@THEdotBest
·
8월 24일","What's #Best today on http://relaxation.Best ?
Seaside Sunset Cafe With Relaxing Jazz Music And Crashing Waves Sounds
https://relaxation.best/seaside-sunset-cafe-with-relaxing-jazz-music-and-crashing-waves-sounds.html…
#music #coffeeshopambience #music #jazz #jazzmusic #relaxingmusic
1
2",,1,,2,['https://pbs.twimg.com/media/E9fB4VHXEAMbHDg?format=jpg&name=small'],https://twitter.com/THEdotBest/status/1429824582442262534
J.J. Tindall,@JJTindall1,2021-08-26T20:47:39.000Z,"J.J. Tindall
@JJTindall1
·
8월 27일","Only reason I know about our Davenport bro Bix is b/c Charlie Watts. Bix would blow off class 
@LFCollege
 to see Pops in CHI gig @ the Sunset Cafe. Bix Beiderbecke & His Rhythm Jugglers - Davenport Blues 1925 https://youtu.be/Q2TQfMobzG8 via 
@YouTube
Bix Beiderbecke & His Rhythm Jugglers - Davenport Blues - 1925
Leon Bismark ""Bix"" Beiderbecke (March 10, 1903 -- August 6, 1931) was an American jazz cornetist, jazz pianist, and composer. A native of Davenport, Iowa.
youtube.com
3",,,,3,['https://pbs.twimg.com/card_img/1440760716630183938/Pa2Nx_Vd?format=jpg&name=240x240'],https://twitter.com/JJTindall1/status/1430995376526577666
$carpdaddy64,@cjscarpa64,2021-08-01T03:57:13.000Z,"$carpdaddy64
@cjscarpa64
·
8월 1일","Tonight 
@WillowHillMusic
 came into sunset cafe for dinner after they performed at lynch field, I want to thank them for stopping in and sharing some stories and good times with the staff tonight!!",,,,,[],https://twitter.com/cjscarpa64/status/1421681396628791296
かい,@kaiiiiiOSAKA,2021-08-03T17:07:20.000Z,"かい
@kaiiiiiOSAKA
·
8월 4일","名古屋ー！！
sunset cafe Now！！
1
25",,1,,25,['https://pbs.twimg.com/media/E74btl_VgAcxEaK?format=jpg&name=small'],https://twitter.com/kaiiiiiOSAKA/status/1422605011897307137
BAR POP-toyohashi GAY BAR,@PToyohashi,2021-08-28T05:17:45.000Z,"BAR POP-toyohashi GAY BAR
@PToyohashi
·
8월 28일","BARPOP
8月28日(土)15時オープン
時短にて営業しております。
系列のsunset cafeにてルキアママの
BDパーティーです！
よろしくお願いいたします
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
2",🔴 ⚪ ㊗,,2,,[],https://twitter.com/PToyohashi/status/1431486136723988483
Clem Lavogez,@ClemLavogez,2021-08-02T19:45:01.000Z,"Clem Lavogez
@ClemLavogez
·
8월 3일","Le PARADIS. 
#lacanau #vacances #summer à Sunset Café - Lacanau Océan https://instagram.com/p/CSFY-D4LuI9/?utm_medium=twitter…
1
4",♥,,1,4,[],https://twitter.com/ClemLavogez/status/1422282306849583105
