UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
카페 만월회(manwol),@manwol_cafe,2021-08-06T09:55:58.000Z,"카페 만월회(manwol)
@manwol_cafe
·
8월 6일","안녕하세요 카페 만월회입니다.
오늘도 저희는 광교 갤러리아 백화점에서 맛있는 음료들을 가득 채워두고 고객님들을 맞이하고 있습니다!

광교 갤러리아 백화점에 오시면 밝은 목소리를 가진 매니저님을 만날 수 있는데 바로 마케팅팀의 신입사원인 쩡 매니저님입니다!
1
72
71",,1,72,71,['https://pbs.twimg.com/media/E8GVvgZUYAgB9lk?format=jpg&name=small'],https://twitter.com/manwol_cafe/status/1423583619948240905
카페 아리에떼,@ariete_cafe,2021-08-05T04:21:26.000Z,"카페 아리에떼
@ariete_cafe
·
8월 5일","복숭아가 너무너무 맛있는 계절 이 짧은 철이 아쉬워질만큼 오늘 복숭아가 너무 달콤하네요. 오늘은 복숭아크레이프, 복숭아 케이크,단호박 케이크가 있어요  복숭아 크레이프 엄청 많이 찾으셨쥬 어서오세용
68
18",🍑 💕 ☺ 🥲 💖 🌷 ☺ 💕 🦔 🦔,,68,18,"['https://pbs.twimg.com/media/E7__ltLVoAAGjda?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7__ltFVoAQbCZU?format=jpg&name=360x360']",https://twitter.com/ariete_cafe/status/1423137043429793792
ₘᵧ ᵤₙᵢᵥₑᵣₛₑ 𝗰𝗮𝗳𝗲 𝗣𝗘𝗥𝗦𝗢𝗡𝗔 𝟳 in 대전,@cafe_PERSONA_7,2021-08-06T02:44:37.000Z,"ₘᵧ ᵤₙᵢᵥₑᵣₛₑ 𝗰𝗮𝗳𝗲 𝗣𝗘𝗥𝗦𝗢𝗡𝗔 𝟳 in 대전
@cafe_PERSONA_7
·
8월 6일","여러분! 저 잔여백신 맞아요 아직 맞기 십분전인데 넘나 떨려요ㅜㅜ 오늘 내일 오픈할수 있을지 잘 모르게써요 근데 ㅎㅇㅈ 표시 목걸이 마저도 보라색이라 마음 놓이네요 ㅎㅎㅎ
6
1
55",😱,6,1,55,['https://pbs.twimg.com/media/E8EzB4FUUAU2Z03?format=jpg&name=small'],https://twitter.com/cafe_PERSONA_7/status/1423475067309096962
까페라떼,@cafe_latte616,2021-08-10T13:49:07.000Z,"까페라떼
@cafe_latte616
·
8월 10일","2021.08.10 오늘 보검 데뷔 10주년 6시 16분 기념 캡처트위터글 보다가 글 쓰려고하는데 보검복지부카페 알람이 울려서 깜짝 놀랐어요. 이거 실화냐...ㅎㄷㄷ 보검이 밤 10시에 팬들에게 보내는 편지글과 셀카사진을 올려줬어요! 감동~ 역시 박보검 최고
#오늘은보거미데뷔십주년
2
9",❣ 😭 👍 💕,,2,9,['https://pbs.twimg.com/media/E8bxezEXMAANfWQ?format=jpg&name=900x900'],https://twitter.com/cafe_latte616/status/1425091847106465796
카페 만월회(manwol),@manwol_cafe,2021-08-02T23:47:56.000Z,"카페 만월회(manwol)
@manwol_cafe
·
8월 3일","오늘 아침 하늘이 너무 예뻐요 오늘 광교 갤러리아 백화점 팝업스토어는 활짝 열려있습니다. 맛있는 음료들로 가득 채워둘게요!

아참, 콜드브루가 첫 주 주말에만 물량 90%가 소진됐어요 오전에 오시는 분들만 소량 구매하실 수 있어요. 죄송하고 감사합니다.

그럼 곧 뵙겠습니다
1
13
22",☀ 🥲 💙,1,13,22,['https://pbs.twimg.com/media/E70t0L5UYAEtRog?format=jpg&name=small'],https://twitter.com/manwol_cafe/status/1422343439962710030
TTYA_CAFE ◡̎,@ttya_cafe,2021-08-04T07:49:46.000Z,"TTYA_CAFE ◡̎
@ttya_cafe
·
8월 4일","TTYA ""19주년 기념"" 할인 이벤트가 온라인 쇼핑몰에서 오늘 자정 종료됩니다! 카페에서도 마감시간인 6시까지 할인 적용된 가격으로 구매 가능하시니 구매에 참고 부탁드려요
7
15",🌷 ☺ 🎀 🎶,,7,15,['https://pbs.twimg.com/media/E77ldH3VIAAYHPy?format=jpg&name=900x900'],https://twitter.com/ttya_cafe/status/1422827085928615937
카페 아리에떼,@ariete_cafe,2021-08-08T06:54:21.000Z,"카페 아리에떼
@ariete_cafe
·
8월 8일","8월 9-10일 월,화요일은 아리에떼 휴일이에요 이틀간 조금 쉬고 올게요  오늘 매장에는 지금 복숭아케이크와 후르츠크레이프가 있어요 즐거운 주말되세요 
5
8",🥰 🌲 💖 🍑 💖 ☕ ☺,,5,8,"['https://pbs.twimg.com/media/E8P_XCTVUA0dwbC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8P_XCWUYAIUPJr?format=jpg&name=360x360']",https://twitter.com/ariete_cafe/status/1424262690189438978
노스폴,@cafe_northpole,2021-08-05T00:42:46.000Z,"노스폴
@cafe_northpole
·
8월 5일","걱정하고 계실분 계실것같아서 바로 소식알립니다! 저와 직원 모두는 음성으로 결과받았습니다. 보건소 지시에따라 저는 아직 자택대기자로 오늘은 저희 직원친구들과 함께 정상영업합니다! 가게는 공인된 방역업체가 철저히 소독하였으니 안심하고 방문주셔도 됩니다!
1
19
23",,1,19,23,['https://pbs.twimg.com/media/E7_NjHrVIAMaTs-?format=jpg&name=small'],https://twitter.com/cafe_northpole/status/1423082015109251078
이층집 고양이네,@cafe_rosemary,2021-08-10T22:31:33.000Z,"이층집 고양이네
@cafe_rosemary
·
8월 11일","오늘도 엄마 옆에 챡
1
13",,,1,13,['https://pbs.twimg.com/media/E8dpDmoVcAMRsKA?format=jpg&name=small'],https://twitter.com/cafe_rosemary/status/1425223320484552717
이층집 고양이네,@cafe_rosemary,2021-08-11T00:03:38.000Z,"이층집 고양이네
@cafe_rosemary
·
8월 11일","오늘도 혼자 고독을 씹는 분
5",,,,5,['https://pbs.twimg.com/media/E8d-H3zVIAIQ6CK?format=jpg&name=900x900'],https://twitter.com/cafe_rosemary/status/1425246493456297985
