UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
대한민국 청와대,@TheBlueHouseKR,2021-08-09T09:46:14.000Z,"대한민국 청와대
@TheBlueHouseKR
·
8월 9일","문재인 대통령은 오늘 “국민의 생명과 안전을 지키기 위해 우리가 할 수 있는 방법은 코로나 확산을 차단하는 데 전력을 다하는 것과 백신 접종률을 높이는 것”이라며 “최근 40% 이상의 국민들이 1차 접종을 끝냈고 추석 전 3600만 명 접종을 목표로 하겠다”고 말했습니다.
 https://www1.president.go.kr/articles/10852
15
726
1.3천",▶,15,726,1.3천,['https://pbs.twimg.com/media/E8VvyQKVcAElsaJ?format=jpg&name=small'],https://twitter.com/TheBlueHouseKR/status/1424668335778648067
,@cutehdec,2021-08-08T02:10:46.000Z,"@cutehdec
·
8월 8일","차분하게 취재진과 대화를 나누던 양효진은 ""오늘은 안 울고 싶었는데…""라면서 ""다시 오지 않을 기회 아닌가. 어릴 때는 기회가 많았지만 나는 지금 황혼기다. (경기 후) 지금까지 해온 게 많이 생각났다""며 울먹였다.
2.1천
1.9천",🍒,,2.1천,1.9천,['https://pbs.twimg.com/media/E8O-deaVcAMPmUn?format=jpg&name=900x900'],https://twitter.com/cutehdec/status/1424191325470003202
최성(필연캠프 총괄부본부장),@choisung2010,2021-08-12T07:25:37.000Z,"최성(필연캠프 총괄부본부장)
@choisung2010
·
8월 12일","어제 3차 TV토론 본 소감은 어떠신가요? 

가장 토론을 잘 한 후보는?
누가 대통령으로서 적임인가? 

저의 3차 TV 토론 평가 못 보신 분을 위해 <유튜브 바로가기> https://youtu.be/aJf6-PmYRR8 

* 오늘 영향력있는 리더분들을 만났더니, 모두 이낙연후보가 대통령감이고, 당선될 것 같다고 응원해주네요
29
477
498",,29,477,498,['https://pbs.twimg.com/media/E8ks4NqVkAQyWbK?format=jpg&name=small'],https://twitter.com/choisung2010/status/1425720108802924548
국제앰네스티 한국지부,@AmnestyKorea,2021-08-14T03:00:02.000Z,"국제앰네스티 한국지부
@AmnestyKorea
·
8월 14일","8월 14일 오늘은 세계 2차 대전 당시 일본군에 의해 성 노예 피해를 입은 생존자들의 명예와 인권의 회복을 요구하는 세계 일본군 ‘위안부’ 기림일입니다.

30년 전 오늘, 일본군 성 노예제 문제를 최초로 공개 증언했던 故김학순 활동가의 용기를 기억합니다.

 https://bit.ly/3CHFUCj
1
459
180",🦋,1,459,180,"['https://pbs.twimg.com/media/E8p8YloUYAMct_9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8p8YlwVoAAp1KH?format=jpg&name=360x360']",https://twitter.com/AmnestyKorea/status/1426378048136368129
복스리,@Voxley_stay,2021-08-11T01:21:26.000Z,"복스리
@Voxley_stay
·
8월 11일","나 살아있다~
2차까지 다 끝!!!
트워터 타자정도는 칠 수 있는 그런...
오늘은 좀 쉬어야겠어..
6
13",🤍 🐣,6,,13,['https://pbs.twimg.com/media/E8eP8IOVIAMClL9?format=jpg&name=small'],https://twitter.com/Voxley_stay/status/1425266074577031171
탄이연이,@ayay326,2021-08-08T05:30:01.000Z,"탄이연이
@ayay326
·
8월 8일","금요일에 백신2차 접종하고 몸이 넘 안좋아서
약먹고 자다 깨다 반복.. 와중에 탄이들 보겠다고
틧타 유툽 왔다갔다 하는나.. 대단ㅎㅎ
오늘은 아침 일찍 지미니 말들보고 울컥해서
곱씹어보며 보고 또 보다가 또 기절..
그래, 지미니 글보고 힘내야지! 고마워

#MTVHottest BTS 
@BTS_twt
8
27
44",😭 🥰,8,27,44,['https://pbs.twimg.com/media/E8PsEPJVkAM1WHF?format=jpg&name=small'],https://twitter.com/ayay326/status/1424241467451592711
완벽은우버버리 엠버서더 차은우,@perfect0330,2021-08-10T13:24:06.000Z,"완벽은우버버리 엠버서더 차은우
@perfect0330
·
8월 10일","은우야 더 행복한 내일이 기다리고 있으니 오늘은 든든하게 먹고 푹 자~ 
차나잇 퍼펙트미드나잇 ₍ᐢɞ̴̶̷.̮ɞ̴̶̷ᐢ₎ ෆ

#차은우
1
8
49",💍,1,8,49,['https://pbs.twimg.com/media/E8brvqqVgAEtZTq?format=jpg&name=small'],https://twitter.com/perfect0330/status/1425085549803565057
,@Orange_10_21,2021-08-13T03:01:14.000Z,"@Orange_10_21
·
8월 13일","저의 생일겸 우시지마 생일 알티 이벤트 열어요
선물은 생일인 우시지마의 1차 수주 노루캬라이며 당발은 오늘 저녁 12시입니다 
그냥 팔로워 한정으로 진행하는 작은 이벤트니,,그냥 편하게 알티해주세요~
그럼 좋은 하루 보내시길 바랄게요 : )
1
394
48",🍊 🧡 💜,1,394,48,['https://pbs.twimg.com/media/E8o59ZSVcAQgC8G?format=jpg&name=small'],https://twitter.com/Orange_10_21/status/1426015962206142468
동결배즙,@pearjuicehealer,2021-08-15T09:20:14.000Z,"동결배즙
@pearjuicehealer
·
8월 15일","이도전하 생일 기념 RT 이벤트

음력 7월 8일 오늘은 조선의 황자 이도전하 생일이에요!
알티 해주신 분 한 분 뽑아서 조선호텔(서울or부산) 애프터눈티세트 2인 보내드립니다!

1차 비엘계정 누구나! 비엘계정 아닐시 나래아 전권 인증 가능하면 참여
당발은 8/21 토요일
카.톡 선물 코드
1
200
49",❄ 🍐 🪶 🌸 ✔ ⭕ ✔ ✔,1,200,49,"['https://pbs.twimg.com/media/E80j4P4VEAER654?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80j4P2VcAs1ou3?format=jpg&name=360x360']",https://twitter.com/pearjuicehealer/status/1426836117152698370
공식도 아니고 영원하지도 않은 도시,@Eternal_X_city,2021-08-14T03:19:31.000Z,"공식도 아니고 영원하지도 않은 도시
@Eternal_X_city
·
8월 14일","[8/14 우윈의 생일을 축하해주세요!]

차분하고 든든한 우윈의 8월 14일 생일을 축하합니다! 생일축하도, 기쁜마음도 오늘의 선물, 앞으로 더 많은 소중한 감정들을 그녀와 함께 느껴보세요~

■ 생일 선물 내용
중국 중앙청은 신기사에게 생일선물을 지급하는 정책을 시행하지 않습니다 
1
61
43",🤣,1,61,43,['https://pbs.twimg.com/media/E8uHhEcUcAItni5?format=jpg&name=small'],https://twitter.com/Eternal_X_city/status/1426382951097331721
